Frequency,N=5,N=6,N=7,N=8,N=9,N=10,N=11,N=12,N=13,N=14,N=15,N=16,N=17,N=18,N=19,N=20,N=21,N=22,N=23,N=24,N=25,N=26,N=27
100000,169.202+171.009j,244.22+246.785j,332.244+335.63j,433.612+437.93j,547.515+552.77j,674.787+680.935j,816.467+823.713j,968.684+976.71j,1133.91+1142.62j,1316.0+1325.75j,1509.9+1520.12j,1708.2+1718.71j,1924.87+1935.34j,2157.25+2166.92j,2467.96+2478.32j,2655.93+2664.5j,2925.82+2933.81j,3209.4+3211.42j,3498.3+3497.01j,3812.0+3806.25j,4124.97+4111.1j,4460.82+4442.81j,4806.24+4784.06j
100762.9863,169.858+171.361j,245.197+247.308j,333.625+336.368j,435.442+438.908j,549.862+554.021j,677.702+682.487j,820.023+825.604j,972.939+978.968j,1138.89+1145.26j,1321.79+1328.81j,1516.6+1523.65j,1715.79+1722.7j,1933.42+1939.83j,2166.92+2171.98j,2479.04+2484.1j,2667.87+2670.7j,2938.98+2940.63j,3223.99+3218.92j,3514.22+3505.15j,3829.39+3815.09j,4143.84+4120.62j,4481.24+4453.08j,4828.27+4795.11j
101531.794,170.516+171.713j,246.176+247.832j,335.01+337.108j,437.277+439.887j,552.215+555.275j,680.627+684.042j,823.59+827.499j,977.207+981.229j,1143.89+1147.9j,1327.59+1331.88j,1523.32+1527.19j,1723.39+1726.69j,1942.0+1944.32j,2176.62+2177.03j,2490.15+2489.88j,2679.84+2676.9j,2952.18+2947.46j,3238.63+3226.42j,3530.2+3513.31j,3846.83+3823.95j,4162.76+4130.15j,4501.73+4463.37j,4850.37+4806.18j
102306.4677,171.177+172.067j,247.16+248.357j,336.399+337.849j,439.118+440.868j,554.577+556.532j,683.561+685.6j,827.168+829.397j,981.488+983.494j,1148.91+1150.55j,1333.41+1334.94j,1530.05+1530.73j,1731.02+1730.69j,1950.61+1948.82j,2186.36+2182.1j,2501.29+2495.67j,2691.86+2683.12j,2965.43+2954.29j,3253.31+3233.93j,3546.23+3521.47j,3864.33+3832.82j,4181.75+4139.7j,4522.28+4473.67j,4872.53+4817.26j
103087.0519,171.841+172.421j,248.147+248.884j,337.793+338.592j,440.966+441.852j,556.945+557.791j,686.504+687.161j,830.757+831.298j,985.782+985.763j,1153.94+1153.2j,1339.26+1338.02j,1536.81+1534.28j,1738.68+1734.7j,1959.24+1953.32j,2196.12+2187.17j,2512.47+2501.47j,2703.9+2689.34j,2978.71+2961.14j,3268.04+3241.45j,3562.31+3529.65j,3881.88+3841.7j,4200.8+4149.25j,4542.9+4483.99j,4894.77+4828.35j
103873.592,172.507+172.776j,249.137+249.412j,339.191+339.336j,442.819+442.837j,559.321+559.052j,689.457+688.725j,834.357+833.203j,990.088+988.036j,1158.99+1155.86j,1345.11+1341.1j,1543.59+1537.83j,1746.35+1738.71j,1967.9+1957.83j,2205.91+2192.26j,2523.69+2507.28j,2715.99+2695.58j,2992.04+2968.0j,3282.81+3248.98j,3578.44+3537.83j,3899.49+3850.59j,4219.9+4158.82j,4563.59+4494.31j,4917.09+4839.46j
104666.1332,173.174+173.132j,250.13+249.941j,340.595+340.082j,444.678+443.824j,561.705+560.316j,692.418+690.291j,837.968+835.111j,994.408+990.313j,1164.05+1158.52j,1350.99+1344.18j,1550.39+1541.39j,1754.05+1742.73j,1976.59+1962.35j,2215.73+2197.34j,2534.94+2513.1j,2728.11+2701.82j,3005.4+2974.86j,3297.63+3256.53j,3594.62+3546.03j,3917.16+3859.49j,4239.07+4168.4j,4584.35+4504.65j,4939.47+4850.58j
105464.7215,173.844+173.489j,251.126+250.47j,342.002+340.83j,446.542+444.813j,564.095+561.582j,695.388+691.861j,841.59+837.023j,998.741+992.593j,1169.12+1161.18j,1356.88+1347.27j,1557.21+1544.96j,1761.77+1746.76j,1985.3+1966.88j,2225.59+2202.44j,2546.22+2518.92j,2740.27+2708.07j,3018.81+2981.74j,3312.49+3264.08j,3610.85+3554.23j,3934.88+3868.4j,4258.31+4177.99j,4605.17+4515.0j,4961.93+4861.71j
106269.4028,174.517+173.846j,252.126+251.001j,343.413+341.578j,448.413+445.804j,566.494+562.85j,698.367+693.433j,845.222+838.937j,1003.09+994.878j,1174.21+1163.85j,1362.79+1350.37j,1564.05+1548.53j,1769.52+1750.79j,1994.04+1971.41j,2235.47+2207.54j,2557.54+2524.76j,2752.47+2714.33j,3032.26+2988.62j,3327.41+3271.64j,3627.13+3562.45j,3952.65+3877.32j,4277.6+4187.59j,4626.06+4525.36j,4984.46+4872.85j
107080.2237,175.192+174.205j,253.129+251.533j,344.829+342.328j,450.288+446.797j,568.899+564.121j,701.355+695.008j,848.866+840.856j,1007.44+997.166j,1179.32+1166.52j,1368.72+1353.47j,1570.91+1552.1j,1777.29+1754.83j,2002.8+1975.95j,2245.38+2212.65j,2568.89+2530.6j,2764.7+2720.6j,3045.75+2995.52j,3342.36+3279.21j,3643.46+3570.68j,3970.49+3886.25j,4296.95+4197.2j,4647.01+4535.73j,5007.06+4884.0j
