Frequency,N=5,N=6,N=7,N=8,N=9,N=10,N=11,N=12,N=13,N=14,N=15,N=16,N=17,N=18,N=19,N=20,N=21,N=22,N=23,N=24,N=25,N=26,N=27
100000,234.58691495306422+237.97674864379445j,337.8293164083718+342.58233813373243j,459.8690257482109+466.1911723603985j,600.7246769105507+608.8013459402955j,760.4209951909843+770.4110434805131j,938.9896640069717+951.0183929744089j,1136.470199649051+1150.6255812029322j,1352.9108171197022+1369.2277823236793j,1588.3693124942324+1606.820427130046j,1842.9139516679174+1863.400406828394j,2116.6243619591733+2138.9640561922984j,2409.5924339278945+2433.507064337899j,2721.9232332382608+2747.024376180932j,3053.7359235809236+3079.510081899568j,3405.164703752047+3430.957291675382j,3776.3597568405726+3801.3579929024063j,4167.488218680939+4190.7028871070615j,4578.735162165862+4598.9812036435305j,5010.304603306233+5026.180487185849j,5462.420526501724+5472.286355829415j,5935.327938653325+5937.282226435644j,6429.293941782436+6421.1490035838515j,6944.608842901782+6923.86472824773j
100762.9863,235.72117710818927+238.59132447254902j,339.46301638340094+343.466471630609j,462.0933599080944+467.3936861853516j,603.6311211727798+610.3710004580331j,764.1013964390947+772.3965216125592j,943.5363445760079+953.4682815344252j,1141.9760749904142+1153.5883811882431j,1359.4695265411103+1372.751832062525j,1596.075363357827+1610.9538781879035j,1851.8628769243276+1868.191206230943j,2126.9128915087613+2144.4599101591252j,2421.3186797334074+2439.7553980153016j,2735.1868883808193+2754.072289031824j,3068.6384759955135+3087.404298352277j,3421.8096633769815+3439.7441065456833j,3794.85290017389+3811.083211074579j,4187.9378460935195+4201.411756814174j,4601.252371093191+4610.718342670956j,5035.003579818537+5038.989801202053j,5489.418849879028+5486.210947945004j,5964.746907360848+5952.364297000896j,6461.258913210984+6437.429739122974j,6979.249593340227+6941.384178277952j
101531.794,236.8582104466709+239.20661367352395j,341.1007119336672+344.3516247355783j,464.3231420991615+468.5975788827767j,606.544697896154+611.9424447849068j,767.7908517442828+774.3842503973385j,948.0942446181232+955.9209292504639j,1147.4955873455187+1156.5544939371234j,1366.0445528032083+1376.2797896955258j,1603.8006852529443+1615.0918695334844j,1860.8343162764543+1872.9872106314108j,2137.2274837832647+2149.9616603076383j,2433.074861849651+2446.010338692856j,2748.484700739276+2761.12753139051j,3083.579778901395+3095.3065693290228j,3438.4983683018213+3448.5396929216504j,3813.3952159729706+3820.8178976226113j,4208.442541513849+4212.130757895453j,4623.831052529715+4622.466226556001j,5059.770983713271+5051.810406297415j,5516.493158239655+5500.147290017578j,5994.250069694311+5967.458466372862j,6493.316998893548+6453.722786687527j,7013.993152218005+6958.915989090144j
102306.4677,237.99801247273598+239.82261824045145j,342.7423995316825+345.23780024451304j,466.55836764899993+469.80285415796584j,609.4654011978271+613.515683619328j,771.4893540279741+776.3742355788291j,952.6633559303634+958.3763429241379j,1153.028727607917+1159.5239272725807j,1372.6358862048867+1379.8116639669925j,1611.5452684371003+1619.2344106569974j,1869.8282605138274+1877.788429998084j,2147.5681311131116+2155.469316710296j,2444.8609754400463+2452.271896046265j,2761.8166695965674+2768.19011188397j,3098.5598372282507+3103.2169015836944j,3455.230831118609+3457.3440546572447j,3831.986728193002+3830.5620522461872j,4229.002342667261+4222.859884371453j,4646.471260992803+4634.224841803279j,5084.606893571701+5064.642279274727j,5543.643553797971+5514.095346558599j,6023.837560673705+5982.564683715189j,6525.468370845068+6470.0280765163225j,7048.839737212985+6976.460067798405j
103087.0519,239.14058071035242+240.43934018311876j,344.38807567929285+346.125000975558j,468.7990319217987+471.00951574535173j,612.3932252485487+615.09072169583j,775.1968962535855+778.3664829438402j,957.2436704043969+960.8345294061237j,1158.5754867579053+1162.4966890706846j,1379.2435171416416+1383.3474636761825j,1619.3091032757711+1623.3815111012225j,1878.8447007102118+1882.5948743454942j,2157.934826117631+2160.9828894712796j,2456.677015567152+2458.5400797578077j,2775.182794191293+2775.26003911101j,3113.5786570626833+3111.1353017960364j,3472.007066073557+3466.1571954660762j,3850.6274606814177+3840.315674414356j,4249.61728822126+4233.599129915248j,4669.173052375261+4645.994174426968j,5109.511385313985+5077.485396261389j,5570.870141166118+5528.055081167828j,6053.509518176407+5997.68289698174j,6557.71320606371+6486.34553727891j,7083.7895703345275+6994.016319536717j
103873.592,240.28591270421396+241.05678152717894j,346.03773690998486+347.01322976895995j,471.04513032825787+472.2175674082192j,615.3281642754364+616.6675637850079j,778.9134714863642+780.3609983219114j,961.8351800206578+963.295495595358j,1164.1358559424848+1165.4727872605858j,1385.867436309477+1386.8871976774544j,1627.0921804577506+1627.5331804615078j,1887.8836282201491+1887.4065537328288j,2168.3275617527643+2166.502388724447j,2468.522978465373+2464.8148995168403j,2788.5830750521063+2782.3373216428195j,3128.6362446151497+3119.0617765636j,3488.8270878221647+3474.979118913367j,3869.3174403588487+3850.0787633557466j,4270.287418531529+4244.34848784136j,4691.936486169004+4657.77420992283j,5134.484540954236+5090.339732676153j,5598.173029312323+5542.0264564965555j,6083.266081691969+6012.813052910866j,6590.0516847339295+6502.675096057473j,7118.842878278392+7011.584647403219j
104666.1332,241.43400601935087+241.6749443141373j,347.69137978542653+347.9024894869409j,473.2966583209143+473.4270129386102j,618.2702125650891+618.2462146929123j,782.6390728736346+782.3577875849522j,966.4378768963658+965.7592484391557j,1169.7098264525507+1168.4522298232837j,1392.5076345122052+1390.4308748780995j,1634.894490827438+1631.6894283836577j,1896.9450347593643+1892.2234782613712j,2178.7463315507166+2172.0278246313037j,2480.3988603357566+2471.096365014845j,2802.01751304576+2789.421968015062j,3143.732607093545+3126.9963323991597j,3505.6909121639+3483.809828408153j,3888.0566938892653+3859.85131805286j,4291.012775354857+4255.10795109563j,4714.7616212443645+4669.564933277627j,5159.5264430410925+5103.205263223275j,5625.552326069722+5556.009434270774j,6113.10739399661+6027.9550969918355j,6622.483988812685+6519.016678336546j,7153.999892321164+7029.164952424738j
105464.7215,242.58485824269124+242.29383060126307j,349.3490009010574+348.7927830136321j,475.5536113982639+474.63785615711674j,621.2193644725498+619.8266792611334j,786.3736936307313+784.3568566468363j,971.0517532169375+968.2257949320763j,1175.2973896806739+1171.4350247913294j,1399.164102726409+1393.9785042378492j,1642.7160254770695+1635.8502645632955j,1906.0289122080283+1897.0456580737955j,2189.191129207987+2177.5592073780904j,2492.30465792222+2477.3844859438004j,2815.48610943029+2796.513986727034j,3158.8677524851573+3134.938975724552j,3522.5985560108747+3492.6493271977433j,3906.845249294826+3869.633337234124j,4311.793401538172+4265.877512247098j,4737.648519733294+4681.366328930594j,5184.63717454065+5116.0819618973965j,5653.0081468291+5570.00397518667j,6143.033603068581+6043.108973403936j,6655.010305459815+6535.37020793222j,7189.260847179339+7046.757133532731j
106269.4028,243.73846698263935+242.9134424614986j,351.01059688427864+349.68411325490837j,477.81598510295635+475.85010091269254j,624.1756144042356+621.4089623663543j,790.1173270598042+786.3582114628996j,975.6768013189641+970.6951421159623j,1180.8985372129223+1174.4211802478817j,1405.8368321377907+1397.5300947682194j,1650.5567758374348+1640.0156987435917j,1915.1352528884606+1901.8731033521099j,2199.6619489284753+2183.096547174235j,2504.2403687065125+2483.6792719911523j,2828.9888665563158+2803.6133862330776j,3174.0416895188328+3142.8897128660274j,3539.550036717106+3501.4976183643566j,3925.6831365937023+3879.4248193557496j,4332.629341539761+4276.65716347448j,4760.59724544524+4693.178380772463j,5209.816824160565+5128.969801901874j,5680.540604877046+5584.01003899408j,6173.044858489067+6058.274625030011j,6687.630827496647+6551.735606929138j,7224.625982671045+7064.361087491779j
107080.2237,244.89482987021083+243.53378198337606j,352.67616439502615+350.5764831382455j,480.0837750256308+477.0637510824405j,627.1389568393301+622.9930689202j,793.8699665648634+788.3618580297427j,980.3130136236302+973.1672970789689j,1186.5132607476862+1177.4107043259928j,1412.5258141462275+1401.085655530747j,1658.4167334528252+1644.1857407151913j,1924.2640493813287+1906.705824315584j,2210.1587852435036+2188.639854249745j,2516.205990413172+2489.9807328398288j,2842.5257866591633+2810.720174948384j,3189.2544272254413+3150.848550054935j,3556.545373404751+3510.3547048068576j,3944.5703862718633+3889.2257626047995j,4353.520641319346+4287.446896556405j,4783.6078623324265+4705.001072151232j,5235.065480256201+5141.868755699761j,5708.149819625923+5598.027584371397j,6203.141313433063+6073.45199340746j,6720.345747897483+6568.112795753522j,7260.095543405196+7081.976708864595j
