Frequency,N=5,N=6,N=7,N=8,N=9,N=10,N=11,N=12,N=13,N=14,N=15,N=16,N=17,N=18,N=19,N=20,N=21,N=22,N=23,N=24,N=25,N=26,N=27
100000,234.58689948024082+237.9778261893519j,337.8292784033738+342.58505295861556j,459.86894480053166+466.197084013061j,600.7245216806866+608.8129276595223j,760.4207206978988+770.4319845566342j,938.9892091956506+951.0539449168219j,1136.4694853670157+1150.682948279392j,1352.9097455930514+1369.3165563131884j,1588.3677683731555+1606.9530673617014j,1842.9118052286917+1863.5927661773153j,2116.6214756459567+2139.235953619309j,2409.588672993638+2433.8829049702626j,2721.9184818351205+2747.53382001076j,3053.7301073449953+3080.188762327794j,3405.1578207109596+3431.847585304487j,3776.351918233487+3802.509842153552j,4167.47970172603+4192.174677428682j,4578.726477239797+4600.840697277052j,5010.296577778269+5028.505815659231j,5462.414407551301+5475.167073565207j,5935.325520617453+5940.820428100996j,6429.297718649037+6425.460508012013j,6944.622192291827+6929.080332033843j
100762.9863,235.72116385650634+238.59241830712j,339.4629839962222+343.4692274924414j,462.09329123409873+467.3996871962537j,603.6309900654809+610.3827572448524j,764.1011657147212+772.4177792457303j,943.5359643558077+953.5043709407624j,1141.9754815769475+1153.646615616095j,1359.4686429586407+1372.8419484391875j,1596.0741015534109+1611.0885244641265j,1851.8611424018654+1868.3864754008328j,2126.910591417317+2144.735921553797j,2421.3157353515903+2440.1369268923627j,2735.1832532047015+2754.5894455593266j,3068.6341608478488+3088.0932572467586j,3421.804770116266+3440.6478887957314j,3794.847665258346+3812.2525193598576j,4187.932697458107+4202.905866434436j,4601.247999291485+4612.606049984078j,5035.001026176651+5041.350431797007j,5489.419615988772+5489.135426990711j,5964.753087882731+5955.956284443577j,6461.273355576542+6441.8068326372695j,6979.276089904453+6946.679187133039j
101531.794,236.85819947828193+239.20772402657263j,341.1006853205519+344.35442221238617j,464.3230860418937+468.603670510563j,606.5445915872286+611.9543791053113j,767.7906660147454+774.4058290469047j,948.0939410711077+955.9575636928622j,1147.49511817249+1156.6136079382563j,1366.0438623932982+1376.3712673789878j,1603.7997136332606+1615.22855013536j,1860.8330051366663+1873.1854306578539j,2137.225786249179+2150.241843709041j,2433.0727567647305+2446.397636098058j,2748.4822129749527+2761.6525095265883j,3083.577006747574+3096.0059519125816j,3438.4955201734792+3449.457154488133j,3813.392657271545+3822.0049119391624j,4208.440855055266+4213.6475028088835j,4623.831113847251+4624.3825473243205j,5059.774054711273+5054.206839678116j,5516.501001787401+5503.116151607186j,5994.265088846452+5971.105003924844j,6493.3424043593905+6458.166402387098j,7014.033163828382+6964.291533992225j
102306.4677,237.99800385081753+239.82374534447248j,342.74237885276085+345.2406399219716j,466.5583245551162+469.80903767789215j,609.4653203715247+613.5277979718516j,771.4892145326303+776.3961397629816j,952.6631311739296+958.4135300748004j,1153.028386111127+1159.5839332304809j,1372.635394306783+1379.9045221273345j,1611.5445950102603+1619.373154239811j,1869.8273844658554+1877.9896424602496j,2147.5670528127503+2155.7537309266004j,2444.8597328691903+2452.665043327725j,2761.8153608932284+2768.723021983714j,3098.558650827922+3103.926855006982j,3455.2300848287728+3458.275388771134j,3831.9869197917387+3831.76702287808j,4229.00421404819+4224.399584782442j,4646.47587831212+4636.170181135025j,5084.615745063884+5067.075022791798j,5543.658670867405+5517.109220232772j,6023.861663545572+5986.266545944391j,6525.505043634846+6474.5391600136245j,7048.893639110737+6981.91729491874j
103087.0519,239.14057449948055+240.44048427368102j,344.38806109772383+346.12788344707735j,468.7990021488929+471.01579244955224j,612.3931706045624+615.1030186120311j,775.1968042634024+778.3887172405159j,957.2435266014415+960.8722770386366j,1158.5752764389913+1162.557599532507j,1379.243229198847+1383.4417217368807j,1619.3087362250812+1623.5223466993866j,1878.844271695026+1882.7991213726768j,2157.9343839836893+2161.27159408899j,2456.6766591357546+2458.93915934105j,2775.182696925458+2775.8009929932064j,3113.579099761817+3111.8559751621697j,3472.0084791616323+3467.102597924612j,3850.6304780252062+3841.5388549733134j,4249.622815407749+4235.16211029026j,4669.182350705959+4647.968942829895j,5109.526176126061+5079.954964035139j,5570.892731561779+5531.114604881894j,6053.542954292445+6001.44086882644j,6557.76145655795+6490.925046861774j,7083.857744318531+6999.5563904476985j
103873.592,240.28590897016372+241.05794284295965j,346.0377285912746+347.0161556357782j,471.0451142383537+472.22393860586027j,615.3281365253796+616.6800458298445j,778.9134282907191+780.3835673694344j,961.835119373986+963.3338115859335j,1164.1357803641158+1165.5346149391457j,1385.8673578642129+1386.9828753185907j,1627.0921281023798+1627.6761374931289j,1887.88365836853+1887.6138780112951j,2168.327773085202+2166.795444118692j,2468.5235322847043+2465.2199949190335j,2788.5842221850335+2782.8864326076937j,3128.638360855487+3119.793320953214j,3488.830719059464+3475.938788113298j,3869.3233604216302+3851.3204108238606j,4270.296700949382+4245.935076964234j,4691.950593224501+4659.778823372328j,5134.505432892509+5092.84664568642j,5598.203296967738+5545.1322767273405j,6083.309106284507+6016.627929803817j,6590.111829549296+6507.324002851199j,7118.925715754991+7017.208739243969j
104666.1332,241.43400482889723+241.67612309696113j,347.69137789871263+347.9054593582301j,473.2966562831157+473.4334799561376j,618.2702124351374+618.2588844651873j,782.6390797885997+782.3806960828623j,966.4379016437808+965.7981407679259j,1169.70988924411+1168.514987599212j,1392.5077712054974+1390.5279920396013j,1634.8947616540245+1631.8345366554372j,1896.9455364581072+1892.433923041669j,2178.7472139945885+2172.3252919755496j,2480.4003489368606+2471.5075608582415j,2802.0199381586135+2789.9793508632383j,3143.736441934445+3127.7389008957907j,3505.6968214659573+3484.7839653782703j,3888.06559500549+3861.1116928256256j,4291.025914503958+4256.718482121763j,4714.780666972323+4671.599813287849j,5159.553601256752+5105.7500493939915j,5625.590479117514+5559.162206121658j,6113.16026701588+6031.827685001765j,6622.556350507339+6523.735966473667j,7154.09779127515+7034.874258137702j
105464.7215,242.58485966387533+242.29502709614377j,349.3490056185953+348.79579750659536j,475.5536237881654+474.6444203384515j,621.2193926999223+619.8395393939003j,786.3737519941941+784.3801093566353j,971.051865641949+968.2652716843968j,1175.2975945428004+1171.498725715152j,1399.164460311845+1394.0770811227642j,1642.7166281383415+1635.9975542753357j,1906.0298980836087+1897.2592671775205j,2189.1927007212694+2177.8611486541504j,2492.307106327764+2477.8018679697816j,2815.4898467190187+2797.0797577786016j,3158.873351998065+3135.692723439199j,3522.606804395653+3493.638135632545j,3906.8572114602334+3870.9127031624744j,4311.810500832826+4267.512322759487j,4737.672636859212+4683.431902622464j,5184.670767680209+5118.665156182312j,5653.054397302372+5573.204362504777j,6143.096589639508+6047.0400893706865j,6655.0952135078805+6540.160874708807j,7189.3742139987835+7052.552862044934j
106269.4028,243.73847108514266+242.91465691667796j,351.0106083816383+349.6871729948767j,477.8160123044106+475.8567636194629j,624.1756717425419+621.4220155273565j,790.1174382408435+786.3818132088022j,975.6770037451798+970.7352114837715j,1180.8988879114404+1174.4858375421904j,1405.8374164807049+1397.630151845976j,1650.5577191372765+1640.1652004944294j,1915.1367357580984+1902.0899211795854j,2199.664227791194+2183.4030251826907j,2504.243802426622+2484.1029270741146j,2828.9939507861654+2804.1876633475486j,3174.0491005013896+3143.6547969644216j,3539.5606864918814+3502.501304656581j,3925.6982413142923+3880.723443790962j,4332.650506575583+4278.316595537881j,4760.62656907571+4695.275080948318j,5209.857023639459+5131.591946384654j,5680.595169057439+5587.258714476146j,6173.118229220261+6062.265096697317j,6687.72861731541+6556.598662992248j,7224.7552319048355+7070.244463926425j
107080.2237,244.89483672448208+243.53501465036584j,352.6761828504812+350.57958875878694j,480.0838174277896+477.0705136942048j,627.1390440535101+623.0063178123125j,793.870131948768+788.385813699533j,980.3133084219186+973.2079673620599j,1186.5137611299483+1177.4763313874905j,1412.526631210024+1401.1872135406147j,1658.4180263423814+1644.337485506964j,1924.2660423519294+1906.9258958525788j,2210.1617900812007+2188.9509326201824j,2516.210435407426+2490.4107490018973j,2842.532253432866+2811.3030775418683j,3189.2636976141293+3151.625129779828j,3556.558487845945+3511.37347808484j,3944.58871649014+3890.543916443944j,4353.5459794939525+4289.131296778218j,4783.642530305946+4707.129337363895j,5235.1124612813055+5144.530399671707j,5708.212917862618+5601.325229683087j,6203.225344087271+6077.502659569309j,6720.456762572487+6573.0492652394405j,7260.241098154082+7087.948974742123j
107897.2311,246.0539542376985+244.1561024045712j,354.34572572428806+351.473047755659j,482.3570348064443+478.2856744859157j,630.109504192838+624.5924512303818j,797.6318266205271+790.392116930549j,984.9607722585029+975.6835465627476j,1192.142206127547+1180.4702156097987j,1419.2320961995788+1404.7482755910319j,1666.2975418302613+1648.5144195572154j,1933.4178110594548+1911.767202043934j,2220.6853830631017+2194.5048820525462j,2528.207004280798+2496.7253445852275j,2856.1047589127393+2818.4260102986627j,3204.51715521132+3159.603730103345j,3573.6002292205676+3520.2546614081425j,3963.5286705986164+3900.37412261382j,4374.496969644413+4299.956422435721j,4806.720590684636+4718.994660444919j,5260.43717419029+5157.480495037297j,5735.907768398887+5615.403874861324j,6233.418094920369+6092.7527293699595j,6753.27985570682+6589.512613740211j,7295.832071269196+7105.666303399331j
108720.4722,247.2158213033756+244.77792230216667j,356.01923373478877+352.3675529642921j,484.63566013345854+479.5022499459368j,633.087046781757+626.1804207981339j,801.4025158512823+792.400729044874j,989.6193879702407+978.1619563760912j,1197.7842149945648+1183.4674986186844j,1425.9538032954647+1408.3133474340264j,1674.1962578204261+1652.6960129393967j,1942.5920352171747+1916.613850644735j,2231.2350022483406+2200.0648845960545j,2540.233508215053+2503.0467246627068j,2869.7114718629855+2825.5564715225473j,3219.80948479746+3167.5906060817833j,3590.6859327205584+3529.1448599591304j,3982.5181383601093+3910.2140635481846j,4395.503527605367+4310.791968117574j,4829.860822816821+4730.871038234586j,5285.831260907677+5170.442210715753j,5763.679848050473+5629.494615798072j,6263.696648467585+6108.015256169874j,6786.1981058473175+6605.988639185731j,7331.528411807445+7123.39635679557j
109549.9945,248.38043562431702+245.40047648135254j,357.69670364956534+353.26310738484085j,486.91968915506385+480.72024405335867j,636.0716665092949+627.7702315666324j,805.1821933269277+794.4116562264012j,994.2891483834932+980.6432041387176j,1203.439779979365+1186.4681888733621j,1432.6917446052753+1411.8824385568973j,1682.1141668779615+1656.8822759951906j,1951.7887087802326+1921.465852582373j,2241.8106439668622+2205.6309513862448j,2552.289947211584+2509.374900068526j,2883.3523975308362+2832.6944710814987j,3235.1406992679595+3175.5857657661873j,3607.8156206378576+3538.0440789238155j,4001.557155565306+3920.063740244474j,4416.565706854537+4321.637929028619j,4853.063299185261+4742.758458279899j,5311.294818958272+5183.415524279128j,5791.529287806051+5643.597417288758j,6294.061171334783+6123.290188838175j,6819.211725519067+6622.477270634778j,7367.330388855937+7141.1390396172j
