Frequency,N=5,N=6,N=7,N=8,N=9,N=10,N=11,N=12,N=13,N=14,N=15,N=16,N=17,N=18,N=19,N=20,N=21,N=22,N=23,N=24,N=25,N=26,N=27
100000,169.202+171.009j,244.22+246.785j,332.244+335.63j,433.612+437.93j,547.515+552.77j,674.787+680.935j,816.467+823.713j,968.684+976.71j,1133.91+1142.62j,1316.0+1325.75j,1509.9+1520.12j,1708.2+1718.71j,1924.87+1935.34j,2157.25+2166.92j,2467.9588664570947+2478.3215140970565j,2655.933029588761+2664.4991190778933j,2925.8199094839124+2933.8105266407188j,3209.398063886346+3211.422659231852j,3498.2964246921656+3497.007553197704j,3812.002632332369+3806.2474424980323j,4124.97209463264+4111.098755148898j,4460.815058732906+4442.80673137688j,4806.24458144613+4784.057731474622j
100762.9863,169.858+171.361j,245.197+247.308j,333.625+336.368j,435.442+438.908j,549.862+554.021j,677.702+682.487j,820.023+825.604j,972.939+978.968j,1138.89+1145.26j,1321.79+1328.81j,1516.6+1523.65j,1715.79+1722.7j,1933.42+1939.83j,2166.92+2171.98j,2480.0280179296383+2484.6127838836114j,2668.940973862533+2671.2523636411906j,2940.1636233276345+2941.2408051502543j,3225.182016802105+3219.527877478574j,3515.5296995218623+3505.8191928224733j,3830.8193847169573+3815.820666321129j,4145.393892846236+4121.406573042546j,4482.926617467498+4453.933996106506j,4830.093090380427+4796.02824980548j
101531.794,170.516+171.713j,246.176+247.832j,335.01+337.108j,437.277+439.887j,552.215+555.275j,680.627+684.042j,823.59+827.499j,977.207+981.229j,1143.89+1147.9j,1327.59+1331.88j,1523.32+1527.19j,1723.39+1726.69j,1942.0+1944.32j,2176.62+2177.03j,2492.128938306439+2490.9095758247504j,2681.983482301558+2678.011321744825j,2954.5456802588847+2948.677237866445j,3241.0089893383692+3227.6392441151966j,3532.810413687048+3514.637209155569j,3849.688563427971+3825.40042057374j,4165.873573545316+4131.720742103748j,4505.101294304842+4465.067832246401j,4854.01007638096+4808.005574007497j
102306.4677,171.177+172.067j,247.16+248.357j,336.399+337.849j,439.118+440.868j,554.577+556.532j,683.561+685.6j,827.168+829.397j,981.488+983.494j,1148.91+1150.55j,1333.41+1334.94j,1530.05+1530.73j,1731.02+1730.69j,1950.61+1948.82j,2186.36+2182.1j,2504.261637288197+2497.2118829171177j,2695.060569192219+2684.775982144495j,2968.966103155191+2956.119809931293j,3256.879018625123+3235.7567330727757j,3550.138614168456+3523.461568305537j,3868.6102265607396+3834.9866610846625j,4186.411219275997+4142.041202455663j,4527.339183269076+4476.20816978911j,4877.9956525410935+4819.989623755409j
103087.0519,171.841+172.421j,248.147+248.884j,337.793+338.592j,440.966+441.852j,556.945+557.791j,686.504+687.161j,830.757+831.298j,985.782+985.763j,1153.94+1153.2j,1339.26+1338.02j,1536.81+1534.28j,1738.68+1734.7j,1959.24+1953.32j,2196.12+2187.17j,2516.4261251248113+2503.5196979354228j,2708.172251948071+2691.546333300399j,2983.424910883137+2963.5685061349104j,3272.79213876608+3243.880317751838j,3567.514348000056+3532.2922356973936j,3887.5844373684877+3844.5793428006273j,4207.006914700581+4152.367893081729j,4549.640379829061+4487.354937442263j,4902.049925248605+4831.980317334791j
103873.592,172.507+172.776j,249.137+249.412j,339.191+339.336j,442.819+442.837j,559.321+559.052j,689.457+688.725j,834.357+833.203j,990.088+988.036j,1158.99+1155.86j,1345.11+1341.1j,1543.59+1537.83j,1746.35+1738.71j,1967.9+1957.83j,2205.91+2192.26j,2528.6224128186277+2509.8330134267126j,2721.318547139539+2698.3223633713405j,2997.9221281198643+2971.023310877033j,3288.748390359464+3252.0099709605265j,3584.9376656666864+3541.129176041428j,3906.611260775552+3854.1784197805273j,4227.660743340373+4162.7007518519995j,4572.004985980388+4498.508062532418j,4926.173012438527+4843.977571409567j
104666.1332,173.174+173.132j,250.13+249.941j,340.595+340.082j,444.678+443.824j,561.705+560.316j,692.418+690.291j,837.968+835.111j,994.408+990.313j,1164.05+1158.52j,1350.99+1344.18j,1550.39+1541.39j,1754.05+1742.73j,1976.59+1962.35j,2215.73+2197.34j,2540.850511754711+2516.151821705367j,2734.4994717329846+2705.104060215812j,3012.4577772172343+2978.4842081916618j,3304.747811911292+3260.1456649560687j,3602.408616107522+3549.972353360378j,3925.690763101954+3863.783845170671j,4248.372791821435+4173.039715456203j,4594.4331009765265+4509.6674710914285j,4950.365030133209+4855.981301140488j
105464.7215,173.844+173.489j,251.126+250.47j,342.002+340.83j,446.542+444.813j,564.095+561.582j,695.388+691.861j,841.59+837.023j,998.741+992.593j,1169.12+1161.18j,1356.88+1347.27j,1557.21+1544.96j,1761.77+1746.76j,1985.3+1966.88j,2225.59+2202.44j,2553.110433622781+2522.4761148532716j,2747.7150453584577+2711.891411357185j,3027.031881602452+2985.9511817311613j,3320.7904431823745+3268.2873714114926j,3619.927250821184+3558.821730946518j,3944.8230085444984+3873.395571266831j,4269.143151800934+4183.384719333513j,4616.924830753613+4520.833087700936j,4974.626092719112+4867.991420205864j
106269.4028,174.517+173.846j,252.126+251.001j,343.413+341.578j,448.413+445.804j,566.494+562.85j,698.367+693.433j,845.222+838.937j,1003.09+994.878j,1174.21+1163.85j,1362.79+1350.37j,1564.05+1548.53j,1769.52+1750.79j,1994.04+1971.41j,2235.47+2207.54j,2565.4021921527537+2528.805884689826j,2760.9652866729584+2718.6844040121905j,3041.6444680786153+2993.4242147146037j,3336.876325886242+3276.43506139715j,3637.4936249216953+3567.6772713052037j,3964.0080658815955+3883.0135493922717j,4289.971911619484+4193.735697802757j,4639.480279901821+4532.004835591722j,4998.956324761271+4880.007840536391j
107080.2237,175.192+174.205j,253.129+251.533j,344.829+342.328j,450.288+446.797j,568.899+564.121j,701.355+695.008j,848.866+840.856j,1007.44+997.166j,1179.32+1166.52j,1368.72+1353.47j,1570.91+1552.1j,1777.29+1754.83j,2002.8+1975.95j,2245.38+2212.65j,2577.7258002258322+2535.141122801794j,2774.250215693487+2725.4830250612754j,3056.295561113098+3000.903290000797j,3353.0055026879977+3284.5887053759106j,3655.10779215216+3576.5389362273504j,3983.2460060936346+3892.6377299056876j,4310.859164156889+4204.092583898984j,4662.0995541700595+4543.182636607902j,5023.35584879939+4892.030472514087j
