Frequency,N=7,N=8,N=9,N=10,N=11,N=12,N=13,N=14,N=15,N=16,N=17,N=18,N=19,N=20,N=21,N=22,N=23,N=24,N=25,N=26,N=27,N=28,N=29,N=30,N=31,N=32,N=33,N=34,N=35,N=36,N=37,N=38,N=39,N=40,N=41,N=42,N=43,N=44,N=45
100000,246.12+248.955j,321.586+325.22j,406.931+411.407j,501.524+506.847j,605.591+611.772j,718.976+726.115j,841.9937716611032+849.8380190276723j,972.769+981.309j,1114.5+1123.49j,1266.84+1276.38j,1426.33+1436.27j,1596.44+1607.18j,1775.57+1785.45j,1961.27+1970.66j,2156.86+2166.49j,2362.12+2369.45j,2578.25+2584.56j,2800.1682544138184+2805.238069118609j,3035.76+3036.21j,3280.61+3279.3j,3530.6+3525.41j,3789.84+3778.9j,4061.51+4046.4j,4341.48+4322.82j,4642.52+4614.33j,4932.8+4895.29j,5238.03+5188.35j,5556.35+5499.34j,5882.53+5816.17j,6221.0+6140.43j,6574.22+6468.47j,6943.25+6817.93j,7287.6+7156.77j,7641.88+7484.4j,8059.11+7886.19j,8443.43+8245.62j,8846.53+8623.72j,9277.27+9035.07j,9690.16+9422.72j
100762.9863,247.112+249.487j,322.892+325.921j,408.609+412.307j,503.626+507.971j,608.149+613.138j,722.014+727.735j,846.082887044224+852.0134185141544j,976.949+983.528j,1119.29+1126.03j,1272.34+1279.28j,1432.52+1439.53j,1603.42+1610.86j,1783.35+1789.53j,1969.94+1975.19j,2166.32+2171.43j,2372.58+2374.88j,2589.68+2590.48j,2813.9289716784224+2812.3338194691232j,3049.37+3043.18j,3295.33+3286.82j,3546.46+3533.48j,3806.91+3787.52j,4079.97+4055.7j,4361.23+4332.74j,4663.7+4624.88j,4955.35+4906.45j,5262.03+5200.13j,5581.85+5511.82j,5909.57+5829.34j,6249.9+6154.4j,6604.89+6483.09j,6975.73+6833.28j,7321.69+7172.88j,7677.76+7501.16j,8097.0+7903.82j,8483.23+8263.97j,8888.36+8642.85j,9321.16+9055.07j,9736.1+9443.51j
101531.794,248.107+250.021j,324.203+326.623j,410.294+413.208j,505.734+509.097j,610.715+614.507j,725.062+729.359j,850.1822936096171+854.1910616837499j,981.142+985.751j,1124.1+1128.57j,1277.85+1282.18j,1438.73+1442.79j,1610.43+1614.54j,1791.15+1793.61j,1978.63+1979.72j,2175.82+2176.37j,2383.07+2380.31j,2601.15+2596.4j,2827.7270212925437+2819.435175599565j,3063.02+3050.16j,3310.1+3294.35j,3562.38+3541.56j,3824.03+3796.16j,4098.49+4065.0j,4381.04+4342.67j,4684.94+4635.45j,4977.97+4917.62j,5286.12+5211.93j,5607.44+5524.3j,5936.7+5842.52j,6278.9+6168.38j,6635.67+6497.72j,7008.32+6848.64j,7355.9+7189.01j,7713.77+7517.93j,8135.03+7921.46j,8523.17+8282.34j,8930.36+8661.98j,9365.22+9075.07j,9782.22+9464.31j
102306.4677,249.106+250.556j,325.518+327.327j,411.983+414.111j,507.849+510.226j,613.29+615.878j,728.119+730.985j,854.2919871162424+856.3709516344404j,985.348+987.978j,1128.92+1131.12j,1283.37+1285.1j,1444.96+1446.07j,1617.45+1618.23j,1798.98+1797.7j,1987.35+1984.27j,2185.34+2181.32j,2393.6+2385.75j,2612.65+2602.32j,2841.5624319328545+2826.5421177694743j,3076.72+3057.14j,3324.91+3301.89j,3578.35+3549.65j,3841.21+3804.8j,4117.08+4074.32j,4400.93+4352.61j,4706.26+4646.02j,5000.67+4928.81j,5310.3+5223.74j,5633.11+5536.8j,5963.93+5855.71j,6308.01+6182.37j,6666.57+6512.36j,7041.04+6864.01j,7390.24+7205.15j,7749.91+7534.71j,8173.21+7939.1j,8563.27+8300.71j,8972.51+8681.13j,9409.44+9095.08j,9828.52+9485.11j
103087.0519,250.108+251.092j,326.837+328.032j,413.679+415.016j,509.971+511.357j,615.873+617.252j,731.187+732.616j,858.4119635115952+858.5530914687425j,989.568+990.209j,1133.76+1133.67j,1288.92+1288.01j,1451.21+1449.34j,1624.5+1621.93j,1806.83+1801.79j,1996.1+1988.81j,2194.89+2186.28j,2404.16+2391.2j,2624.19+2608.26j,2855.4352318591596+2833.6546258085928j,3090.46+3064.14j,3339.78+3309.44j,3594.38+3557.75j,3858.45+3813.46j,4135.72+4083.65j,4420.87+4362.57j,4727.65+4656.61j,5023.45+4940.01j,5334.55+5235.56j,5658.88+5549.31j,5991.26+5868.91j,6337.21+6196.37j,6697.57+6527.02j,7073.87+6879.39j,7424.7+7221.3j,7786.19+7551.5j,8211.52+7956.76j,8603.51+8319.09j,9014.82+8700.27j,9453.83+9115.1j,9875.0+9505.91j
103873.592,251.114+251.63j,328.161+328.739j,415.38+415.923j,512.1+512.49j,618.464+618.629j,734.264+734.249j,862.542218734895+860.7374842930227j,993.801+992.444j,1138.61+1136.22j,1294.48+1290.93j,1457.47+1452.63j,1631.57+1625.63j,1814.7+1805.9j,2004.87+1993.37j,2204.48+2191.25j,2414.76+2396.66j,2635.77+2614.21j,2869.345452120868+2840.7726790919187j,3104.25+3071.15j,3354.69+3317.0j,3610.45+3565.86j,3875.74+3822.13j,4154.42+4092.98j,4440.89+4372.53j,4749.11+4667.21j,5046.3+4951.21j,5358.89+5247.4j,5684.73+5561.84j,6018.68+5882.13j,6366.52+6210.39j,6728.68+6541.68j,7106.83+6894.78j,7459.28+7237.45j,7822.6+7568.29j,8249.97+7974.43j,8643.91+8337.48j,9057.29+8719.43j,9498.39+9135.12j,9921.65+9526.72j
104666.1332,252.123+252.168j,329.49+329.448j,417.086+416.832j,514.236+513.625j,621.063+620.009j,737.352+735.885j,866.68274905193+862.9241332163206j,998.048+994.684j,1143.48+1138.78j,1300.06+1293.86j,1463.76+1455.92j,1638.67+1629.33j,1822.61+1810.01j,2013.68+1997.93j,2214.09+2196.22j,2425.39+2402.13j,2647.39+2620.16j,2883.2931247162423+2847.8962565268885j,3118.08+3078.17j,3369.65+3324.57j,3626.58+3573.98j,3893.1+3830.81j,4173.19+4102.33j,4460.97+4382.51j,4770.64+4677.82j,5069.23+4962.44j,5383.31+5259.24j,5710.67+5574.37j,6046.2+5895.36j,6395.93+6224.41j,6759.91+6556.35j,7139.9+6910.18j,7493.99+7253.62j,7859.14+7585.1j,8288.57+7992.1j,8684.45+8355.87j,9099.93+8738.59j,9543.12+9155.15j,9968.48+9547.53j
105464.7215,253.135+252.708j,330.822+330.157j,418.799+417.743j,516.379+514.763j,623.671+621.391j,740.449+737.525j,870.8335506587869+865.1130413497126j,1002.31+996.927j,1148.36+1141.35j,1305.66+1296.79j,1470.07+1459.21j,1645.78+1633.05j,1830.53+1814.12j,2022.51+2002.5j,2223.73+2201.2j,2436.05+2407.6j,2659.04+2626.13j,2897.278280850042+2855.0253365769745j,3131.95+3085.19j,3384.65+3332.15j,3642.76+3582.11j,3910.5+3839.5j,4192.01+4111.7j,4481.11+4392.5j,4792.24+4688.44j,5092.24+4973.67j,5407.82+5271.1j,5736.7+5586.92j,6073.81+5908.6j,6425.44+6238.45j,6791.24+6571.03j,7173.09+6925.58j,7528.82+7269.8j,7895.82+7601.91j,8327.31+8009.78j,8725.15+8374.27j,9142.72+8757.75j,9588.02+9175.18j,10015.5+9568.34j
106269.4028,254.15+253.248j,332.158+330.868j,420.515+418.655j,518.528+515.903j,626.287+622.776j,743.556+739.168j,874.9946200592522+867.3042118047573j,1006.58+999.175j,1153.26+1143.92j,1311.27+1299.73j,1476.39+1462.52j,1652.92+1636.77j,1838.48+1818.24j,2031.36+2007.08j,2233.41+2206.19j,2446.75+2413.09j,2670.73+2632.1j,2911.3009543321336+2862.15989720632j,3145.87+3092.23j,3399.71+3339.74j,3658.99+3590.25j,3927.97+3848.2j,4210.9+4121.07j,4501.33+4402.5j,4813.92+4699.08j,5115.33+4984.91j,5432.41+5282.97j,5762.82+5599.48j,6101.51+5921.85j,6455.05+6252.49j,6822.69+6585.73j,7206.39+6941.0j,7563.78+7285.98j,7932.63+7618.73j,8366.19+8027.47j,8766.0+8392.67j,9185.68+8776.92j,9633.09+9195.21j,10062.7+9589.16j
107080.2237,255.168+253.79j,333.499+331.581j,422.237+419.569j,520.682+517.045j,628.91+624.163j,746.67+740.813j,879.1659538367076+869.497647692712j,1010.87+1001.43j,1158.17+1146.49j,1316.9+1302.67j,1482.74+1465.82j,1660.08+1640.49j,1846.46+1822.37j,2040.25+2011.66j,2243.11+2211.19j,2457.48+2418.58j,2682.45+2638.08j,2925.361179774057+2869.299915892825j,3159.83+3099.28j,3414.81+3347.34j,3675.28+3598.4j,3945.49+3856.92j,4229.85+4130.45j,4521.6+4412.51j,4835.66+4709.72j,5138.49+4996.17j,5457.08+5294.85j,5789.03+5612.05j,6129.32+5935.12j,6484.77+6266.55j,6854.25+6600.43j,7239.82+6956.42j,7598.86+7302.17j,7969.57+7635.56j,8405.21+8045.16j,8807.0+8411.08j,9228.79+8796.09j,9678.33+9215.25j,10110.1+9609.98j
