Frequency,N=7,N=8,N=9,N=10,N=11,N=12,N=13,N=14,N=15,N=16,N=17,N=18,N=19,N=20,N=21,N=22,N=23,N=24,N=25,N=26,N=27,N=28,N=29,N=30,N=31,N=32,N=33,N=34,N=35,N=36,N=37,N=38,N=39,N=40,N=41,N=42,N=43,N=44,N=45
100000,246.12035678746932+248.95512464885877j,321.5861526431954+325.2203289589855j,406.9309523767339+411.40741686106503j,501.5244906985897+506.8468452685891j,605.5906027654785+611.7721771245419j,718.9760349411083+726.1148080450863j,841.9937716611032+849.8380190276723j,972.7687391641946+981.3094032606492j,1114.4972779118289+1123.491306056365j,1266.844613863253+1276.3770228633857j,1426.3347313487268+1436.265097647763j,1596.4380426441473+1607.1845730047357j,1775.572625659362+1785.4541525678337j,1961.270895948421+1970.6649280787092j,2156.861531186715+2166.4922366900873j,2362.1153342065227+2369.4527905575032j,2578.249182492127+2584.564907451684j,2800.1682544138184+2805.238069118609j,3035.7606037619857+3036.209962171619j,3280.612966249591+3279.303223301913j,3530.595369016718+3525.4122507691472j,3789.844853708294+3778.89811573134j,4061.51249963498+4046.4023430689163j,4341.476279614586+4322.82318439941j,4642.522574100622+4614.332590237914j,4932.798951384866+4895.288198666941j,5238.0256921298505+5188.345578991775j,5556.350965972754+5499.341293428263j,5882.52658433812+5816.169062899731j,6220.99697818522+6140.4283170038725j,6574.216983622322+6468.465275652821j,6943.245749479944+6817.930277041221j,7287.6014264927635+7156.768893000082j,7641.880186570981+7484.3953716983015j,8059.111590726033+7886.185864135078j,8443.428252730118+8245.616611500023j,8846.528615991723+8623.720489755991j,9277.27020963543+9035.069951134952j,9690.158679350832+9422.723583383875j
100762.9863,247.31159324574492+249.5945620397584j,323.1430551247703+326.0553588291798j,408.9018854693677+412.4632441717414j,503.9550424556952+508.1468319866094j,608.5273810411226+613.3403112610583j,722.4642012961707+727.975238366776j,846.082887044224+852.0134185141544j,977.4971625033644+983.8192860456968j,1119.9184788773923+1126.361364150809j,1273.011794392071+1279.6348129519224j,1433.2849772254233+1439.927821563402j,1604.221072714396+1611.281843267101j,1784.2433502294875+1789.9972886846733j,1970.8597778305275+1975.6730997849509j,2167.4145035109186+2171.9955658518384j,2373.696357767916+2375.4583993589085j,2590.905331655619+2591.1091020356685j,2813.9289716784224+2812.3338194691232j,3050.719172013156+3043.8691240464054j,3296.793558824887+3287.5683446539574j,3548.0422032313863+3534.2823790317775j,3808.61631154271+3788.3835433996983j,4081.6593339294104+4056.545369446662j,4363.035126308518+4333.64897248943j,4665.642442482425+4625.853353385631j,4957.424454644858+4907.4779393554145j,5264.254786718514+5201.22254570469j,5584.214053539537+5512.972030728844j,5912.081545641775+5830.559824105554j,6252.33923599111+6155.5759637705j,6607.496890511018+6484.32929105173j,6978.495635012668+6834.588876948316j,7324.596880793593+7174.258985982974j,7680.833949111569+7502.593017215795j,8100.256245546772+7905.329943970887j,8486.654250684027+8265.554343931202j,8891.982399880806+8644.503842150663j,9324.960189164514+9056.799447632648j,9740.092590365815+9445.317367790398j
101531.794,248.50576028593082+250.23470114299653j,324.70379459120966+326.89130010085705j,410.87769013550667+413.52021468471645j,506.3916263190349+509.4482111684229j,611.4714793813519+614.9101058298629j,725.961087705912+729.8376229053752j,850.1822936096171+854.1910616837499j,982.2375561114145+986.3317152806035j,1125.3534682433651+1129.2342791473554j,1279.1947427200284+1282.8957918386022j,1440.2531036814212+1443.5940640464833j,1612.024190737425+1615.3830157217842j,1792.9366924692781+1794.5445884554651j,1980.4738599940747+1980.6857374775486j,2177.9953406790887+2177.5037352711815j,2385.3083543127377+2381.4690256612544j,2603.5955843719807+2597.658611861787j,2827.7270212925437+2819.435175599565j,3065.7189855552815+3051.5338989320544j,3313.019018075755+3295.8393607538505j,3565.5379617027197+3543.1584865961677j,3827.4411247455073+3797.874880588025j,4101.863918925191+4066.6943974744268j,4384.65614933836+4344.480924566703j,4688.830069135291+4637.3799150409395j,4982.1231037967555+4919.673108795644j,5290.563090640835+5214.104305298444j,5612.161930622234+5526.6074019390735j,5941.727344988914+5844.954857782684j,6283.779241901271+6170.72706752229j,6640.883102771182+6500.194886556141j,7013.859760421018+6851.247766066903j,7361.712196981409+7191.749443267014j,7719.916449567313+7520.788924393493j,8141.537900332351+7924.471419994552j,8530.026035096242+8285.48763456843j,8937.592116174723+8665.280657101903j,9372.814086498915+9078.521385409378j,9790.200054888319+9467.901638341411j
102306.4677,249.70285560514873+250.87554358166756j,326.26836814171213+327.7281548167144j,412.85836294353373+414.578330831749j,508.8342384720388+510.75098555304083j,614.4228936519402+616.4815638061848j,729.4666895981774+731.7019649226379j,854.2919871162424+856.3709516344404j,986.9899162699592+988.8466938051229j,1130.8022428499282+1132.110053472416j,1285.3934565231411+1286.159961367979j,1447.2391096858883+1447.2638259932282j,1619.8473968876933+1619.488090726558j,1801.6526564924588+1799.0960495333295j,1990.1131507402454+1985.7028364334105j,2188.6040524030946+2183.0167384389133j,2396.9513414733337+2387.484657774674j,2616.3199642105833+2604.2134213715794j,2841.5624319328545+2826.5421177694743j,3080.760083582744+3059.2042576733584j,3329.2893925294134+3304.116237154494j,3583.0827072059346+3552.0405300224693j,3846.319366558127+3807.372072030582j,4122.126342186159+4076.849362084251j,4406.339457124013+4355.318966476241j,4712.085583258246+4648.912182287806j,5006.8950483931385+4931.873595667317j,5316.950779922747+5226.990722580746j,5640.194794978055+5540.2472553829j,5971.464219772054+5859.353991449727j,6315.31724231978+6185.881427232664j,6674.375956203191+6516.061812614867j,7049.338472930473+6867.906657242289j,7398.947732312084+7209.239964468958j,7759.128118061147+7538.982739709232j,8182.9570241542315+7943.609904642423j,8573.544166537255+8305.41604597063j,8983.358334452061+8686.050440235373j,9420.83254057567+9100.23523546759j,9840.481795819605+9490.475810949898j
103087.0519,250.90287692599367+251.51709099064826j,327.83677291575805+328.5659250336414j,414.84390048767773+415.6375950601632j,511.2828750785702+512.055157894903j,617.3816197055725+618.0546881795333j,732.9810025480623+733.5682676937647j,858.4119635115952+858.5530914687425j,991.7542393490546+991.3642244535848j,1136.2647996427452+1134.9886895340362j,1291.607933511037+1289.4273233504655j,1454.2429947184223+1450.9371082449775j,1627.6906912865236+1623.5970685660411j,1810.3912463230888+1803.6516694486925j,1999.7776569737289+1990.7243917601274j,2199.2406487412427+2188.534568644872j,2408.6253354990176+2393.5052837242565j,2629.0784940262474+2610.7735146445502j,2855.4352318591596+2833.6546258085928j,3095.842508090798+3066.8801705262063j,3345.6047341549925+3312.3989386997837j,3600.6765040265354+3560.9284650076897j,3865.2511190924315+3816.875061358384j,4142.446702805216+4087.010196889574j,4428.08514721173+4366.163022810245j,4735.409108802569+4660.45006061811j,5031.740447744762+4944.079286533973j,5343.41803784388+5239.881659912273j,5668.3128580871435+5553.891436517973j,6001.292400271093+5873.757049705309j,6346.953521358374+6201.038837715202j,6707.975766160402+6531.929815793413j,7084.9321606182+6884.5652574246305j,7436.303882616736+7226.730243208168j,7798.469415511257+7557.174102761016j,8224.514098642283+7962.74500346254j,8617.20917588844+8325.339134010475j,9029.281704160017+8706.812686170802j,9469.016230929094+9121.94045826793j,9890.93845750374+9513.039294345184j
103873.592,252.1058219987062+252.15934501637884j,329.40900607549634+329.4046128226165j,416.83429940953897+416.6980098330706j,513.73753240057+513.3607309640436j,620.3476535718913+619.6294819534634j,736.5040222163418+735.4365345061238j,862.542218734895+860.7374842930227j,996.5305219632423+993.8843100527935j,1141.7411354612605+1137.8701897209728j,1297.8381715933392+1292.6978795612752j,1461.2647580548974+1454.6139115849346j,1635.5540742686403+1627.709949450033j,1819.1524663984176+1808.2114456076633j,2009.4673864023937+1995.7503983982474j,2209.9051410934335+2194.057218966162j,2420.3303561021667+2399.53089122452j,2641.8711985621935+2617.3388753830113j,2869.345452120868+2840.7726790919187j,3110.9663026064622+3074.561607136017j,3361.965093441394+3320.687429540205j,3618.319413972984+3569.822246420134j,3884.2364628021683+3826.383791154095j,4162.825087422175+4097.176834420718j,4449.893333914985+4377.01301659015j,4758.800785774644+4671.993453598206j,5056.65945602469+4956.2900660091545j,5369.965057737255+5252.776977039712j,5696.516325881448+5567.539788186305j,6031.212127959271+5888.163853868937j,6378.688340928997+6216.199090674914j,6741.682867036144+6547.798637877144j,7120.6411760771425+6901.223269499791j,7473.781049643889+7244.219967624613j,7837.94079563441+7575.362647129763j,8266.209656378633+7981.876313588307j,8661.021615447771+8345.256446342435j,9075.362820721402+8727.566882642319j,9517.365799730916+9143.63650627745j,9941.570813107832+9535.591482493237j
104666.1332,253.31168859720577+252.80230731679222j,330.9850648227364+330.24422026845787j,418.8295564002882+417.7595776288198j,516.1982067850433+514.6677075456872j,623.3209913453072+621.2059481445326j,740.0357443557646+737.3067686589977j,866.68274905193+862.9241332163206j,1001.3187606940895+996.4069534221258j,1147.2312477882265+1140.7545564007664j,1304.084169269002+1295.9716317373795j,1468.3043995723115+1458.294236735634j,1643.437546946275+1631.8267335097553j,1827.93632146159+1812.7753752883114j,2019.182348206187+2000.7808511074888j,2220.597540495646+2199.5846822716535j,2432.066423288047+2405.5614676766704j,2654.698102933117+2623.9094869119353j,2883.2931247162423+2847.8962565268885j,3126.131511981762+3082.248536525429j,3378.3705225580734+3328.981673111337j,3636.011503894835+3578.7218282182657j,3903.2754782082543+3835.8982029383756j,4183.261599154521+4107.349205755098j,4471.764122293138+4387.868869548391j,4782.2607445169715+4683.542263214011j,5081.652232386847+4968.505816594049j,5396.592023486199+5265.6765314580425j,5724.805410468095+5581.192150396264j,6061.2236430174635+5902.574222172035j,6410.521986344987+6231.361973691464j,6775.497601116432+6563.66801595502j,7156.465934299311+6917.880389430169j,7511.37963179011+7261.70882059512j,7877.542712603074+7593.548000181558j,8308.04417771008+8001.003426919222j,8704.982058049423+8365.167522125943j,9121.602336281914+8748.312506567154j,9565.881886611809+9165.322822917127j,9992.379578180075+9558.131761044078j
105464.7215,254.52047451931898+253.44597956115106j,332.56494640177823+331.08474946976787j,420.8296682073042+418.8223009408665j,518.6648945993363+515.9760904395757j,626.3016291386637+622.784089782145j,743.5761648170059+739.1789734625033j,870.8335506587869+865.1130413497126j,1006.1189525026311+998.9321573714536j,1152.7351340729797+1143.6417919192922j,1310.3459247725314+1299.248581578173j,1475.361919701355+1461.9780843551694j,1651.3411106451583+1635.9474207950645j,1836.7428172390428+1817.3434556329805j,2028.922551569562+2005.8157444668202j,2231.317859438305+2205.116951204054j,2443.83355400804+2411.597000209801j,2667.559232464587+2630.4853321763444j,2897.278280850042+2855.0253365769745j,3141.338183220677+3089.9409270663637j,3394.821076594089+3337.2816320889715j,3653.7528396574357+3587.6271634925047j,3922.3682509900927+3845.41823707638j,4203.75633158016+4117.527240848896j,4493.697626726607+4398.730501852533j,4805.789122786985+4695.0963895833465j,5106.718934981891+4980.726418763142j,5423.299135437352+5278.580177817689j,5753.180333217+5594.848360147869j,6091.327188433355+5916.987969643743j,6442.45473955532+6246.52727074402j,6809.420308161734+6579.537682681691j,7192.4068065697375+6934.536309285551j,7549.100036417186+7279.1964793110255j,7917.275645410324+7611.72978208267j,8350.018182173239+8020.125927113151j,8749.09105581131+8385.071893478453j,9168.000878887753+8769.04902682006j,9614.565225180886+9186.998838190273j,10043.365469896336+9580.659505286036j
106269.4028,255.73217759474971+254.09036342992698j,334.1486480836749+331.9262025385517j,422.83463162115817+419.88618227744445j,521.1375923031028+517.285882459769j,629.2895632282566+624.363909907886j,747.1252796192664+741.0531522368325j,874.9946200592522+867.3042118047573j,1010.9310944985996+1001.459924699265j,1158.2527919931472+1146.5318985975746j,1316.6234371122482+1302.5287307384303j,1482.4373186563143+1465.6654550385817j,1659.264766988486+1640.0720112707668j,1845.5719592212724+1821.9156836516743j,2038.6880048416506+2010.855072889593j,2242.066110330209+2210.6540181867103j,2455.6317706987866+2417.637475586301j,2680.4546141975065+2637.0663937129357j,2911.3009543321336+2862.15989720632j,3156.586363154269+3097.638746501498j,3411.31681080992+3345.58726841256j,3671.5434921047336+3596.538204363843j,3941.514868041149+3854.9438327959783j,4224.309387559253+4127.710868223921j,4515.693958647539+4409.597832275254j,4829.386062773938+4706.655730950411j,5131.859739609184+4992.951750470049j,5450.086586557499+5291.487768421403j,5781.64131745388+5608.508251536048j,6121.523014804018+5931.404907925202j,6474.486885179174+6261.6947620441315j,6843.451332673419+6595.407366017134j,7228.464182287635+6951.190715396317j,7586.942676269481+7296.682615287475j,7957.1400601349915+7629.907607022951j,8392.132195317892+8039.243390453223j,8793.349209699689+8404.969082570802j,9214.559099582857+8789.775902328915j,9663.416452154712+9208.663976560227j,10094.529272992831+9603.174076791667j
107080.2237,256.9467956763947+254.73546061457452j,335.7361671818644+332.76858160009226j,424.84444347622514+420.9512241612039j,523.6162964361988+518.5970864341218j,632.2847899639034+625.945411574587j,750.6830848188615+742.9293083119284j,879.1659538367076+869.497647692712j,1015.7551838764474+1003.9902581928607j,1163.7842195483126+1149.4248787305312j,1322.9167052981852+1305.8120808306865j,1489.5305973630616+1469.3563493104275j,1667.2085177497415+1644.2005048190636j,1854.4237537398776+1826.4920562129619j,2048.4787193809125+2015.898830569255j,2252.8423068288976+2216.195875405857j,2467.4610937385414+2423.6828802724995j,2693.3842761359742+2643.6526536520923j,2925.361179774057+2869.299915892825j,3171.876100303676+3105.3419619050005j,3427.857781876848+3353.898543257077j,3689.3835332659664+3605.4549020064574j,3960.7154167841595+3864.474928196442j,4244.920870662747+4137.900015072962j,4537.753234567807+4420.470778031225j,4853.05170739306+4718.220183727726j,5157.074804332411+5005.181687973245j,5476.95458480716+5304.399152602331j,5810.188584837151+5622.17165584467j,6151.81137554513+5945.824845328901j,6506.618712301371+6276.864223932006j,6877.591022526545+6611.276789216021j,7264.638470783146+6967.843288008599j,7624.907958343867+7314.166894739188j,7997.1364577302065+7648.081081244905j,8434.386724677253+8058.355386853412j,8837.757074793117+8424.858605478035j,9261.27767843653+8810.492581397273j,9712.436281031733+9230.317649380155j,10145.871753747191+9625.67482696889j
107897.2311,258.1643266513104+255.38127281747555j,337.32750105056755+333.6118887927506j,426.8591006686461+422.0174291290381j,526.1010035486905+519.9097052042472j,635.2873057510327+627.5285978463583j,754.2495766084858+744.8074450264548j,883.3475486618306+871.6933521242287j,1020.591217974969+1006.5231606270396j,1169.3294147869778+1152.3207345870164j,1329.2257284522493+1309.0986334237627j,1496.641756717418+1473.0507676283519j,1675.1723655200653+1648.3329012255099j,1863.2982077858776+1831.072570035621j,2058.2947053109638+2020.9470115264114j,2263.646463068222+2221.7425148073557j,2479.3215469367924+2429.733200355944j,2706.348246176748+2650.2440937257256j,2939.4589922367295+2876.445369622641j,3187.207444083308+3113.0505396862227j,3444.444048006891+3362.2154170144336j,3707.2730315107874+3614.3772067623586j,3979.969984771811+3874.0114602541657j,4265.59088300656+4148.094607313495j,4559.875575892413+4431.349254711937j,4876.786197231676+4729.789642587979j,5182.364309791141+5017.416104765501j,5503.90332935219+5317.314177348053j,5838.8223585190335+5635.838401452143j,6182.192524118758+5960.247586898824j,6538.850534984055+6292.03542801822j,6911.839742000364+6627.145670217159j,7300.930075329619+6984.493702178782j,7662.996326122139+7331.64897677527j,8037.265321832245+7666.249805019427j,8476.782319348182+8077.461477180281j,8882.315278406964+8444.739966796224j,9308.157252056384+8831.198505090733j,9761.625443383537+9251.959256950455j,10197.393636812456+9648.161098538778j
108720.4722,259.3847684271372+256.02780175178407j,338.92264707643466+334.456126267808j,428.8786001388895+423.0847997317291j,528.5917103427363+521.223741624099j,638.2971071021126+629.1134717978432j,757.824751289656+746.6875657272877j,887.5394014389263+873.8913282070964j,1025.439194560513+1009.0586347589475j,1174.888376179834+1155.219468404403j,1335.5505062978968+1312.3883900353135j,1503.7707985945403+1476.7487103666963j,1683.1563129671408+1652.4692001855608j,1872.1953282531747+1835.6572216983145j,2068.1359741188226+2025.9996095714519j,2274.478592924266+2227.2939281156964j,2491.2131520370567+2435.7884216280213j,2719.3465546518273+2656.8406952130626j,2953.594427729205+2883.5962348777307j,3202.5804464251823+3120.7644455357135j,3461.075666992223+3370.5378493274907j,3725.2120619483103+3623.3050678948744j,3999.2786659841886+3883.553364631791j,4286.319536011262+4158.294569276096j,4582.061101211721+4442.233176472038j,4900.589686061146+4741.363999970803j,5207.728426369886+5029.654872422259j,5530.933029851512+5330.232686698976j,5867.542878872302+5649.508313203178j,6212.666735166007+5974.672933579845j,6571.182645717866+6307.208142773648j,6946.197861195635+6643.013721897803j,7337.339415435755+7001.141626772917j,7701.208215623841+7349.128514956216j,8077.527138690818+7684.413371855851j,8519.31954786347+8096.561213818247j,8927.024388556392+8464.612665637458j,9355.198508609148+8851.893102541771j,9810.984617013966+9273.58819228419j,10249.095760406766+9670.632217041486j
