Frequency,N=7,N=8,N=9,N=10,N=11,N=12,N=13,N=14,N=15,N=16,N=17,N=18,N=19,N=20,N=21,N=22,N=23,N=24,N=25,N=26,N=27,N=28,N=29,N=30,N=31,N=32,N=33,N=34,N=35,N=36,N=37,N=38,N=39,N=40,N=41,N=42,N=43,N=44,N=45
100000,555.7787162419315+564.2911589050383j,726.0619494060438+736.9177394533591j,919.160682580267+932.5482343892832j,1135.1337883038254+1151.1800862635j,1374.054742552703+1392.8101979912094j,1636.013271415307+1657.4348153019641j,1921.1170128175568+1945.0493923181734j,2229.4931956865075+2255.648436377946j,2561.2903406891346+2589.2253281724215j,2916.6799855254994+2945.772112681601j,3295.858438432185+3325.279255879941j,3699.04856563301+3727.7353615585193j,4126.50161372217+4153.126841957859j,4578.499076770508+4601.437535338084j,5055.354606221297+5072.648262836668j,5557.415978169513+5566.736316364675j,6085.067108623311+6083.674868365431j,6638.730182882761+6623.434676126488j,7218.867713341026+7185.97729256209j,7825.984809739335+7771.257912378305j,8460.631501427379+8379.22540161538j,9123.40512157615+9009.820000586871j,9814.952775026628+9662.972019626786j,10535.973926360028+10338.60036320968j,11287.223072017006+11036.610863772368j,12069.512535648724+11756.894403800292j,12883.715370515722+12499.32480328887j,13730.768361756964+13263.75644758705j,14611.675162337833+14050.021626947959j,15527.50958884173+14857.927555328351j,16479.418943260902+15687.25303977415j,17468.627560651003+16537.744755324093j,18496.440408483766+17409.113090794286j,19564.246845695016+18301.027515189697j,20673.524476961116+19213.111417104763j,21825.843000638473+20144.93637014556j,23022.86838115521+21096.015739211078j,24266.366820192525+22065.797597663804j,25558.20888760418+23053.65685727496j
100762.9863,558.4677506561061+565.7513230391858j,729.5763628056865+738.8236389501258j,923.6121931393176+934.9589187235508j,1140.6349985199286+1154.1544337662024j,1380.7193589661633+1396.4068727799931j,1643.9563494631084+1661.7122181345712j,1930.4552268603306+1950.065604847513j,2240.3451349961524+2261.4611581821473j,2573.7768316639026+2595.8918058015824j,2930.9244401336277+2953.349059821903j,3311.987231236045+3333.8227635990097j,3717.1914377043186+3737.3007973862973j,4146.792106065019+4163.7687364087615j,4601.074993716651+4613.2094542341165j,5080.358510225469+5085.602663583713j,5584.995713710985+5580.924386038641j,6115.37636460242+6099.146341243393j,6671.92908549077+6640.237646447578j,7255.123453418208+7204.15795425825j,7865.472312721862+7790.860297828392j,8503.534132814435+8400.291094900958j,9169.915428720506+9032.387803826496j,9865.273286619551+9687.077576216525j,10590.317972735775+10364.275732989374j,11345.81567640644+11063.884043314409j,12132.59133703923+11785.7887856292j,12951.531590986253+12529.858566407545j,13803.587837480827+13295.941870373674j,14689.779444486612+14083.864312415946j,15611.197035685633+14893.425561310225j,16569.005942627256+15724.395897290342j,17564.449757918264+16576.512366679402j,18598.854014836925+17449.4744899951j,19673.629967669764+18342.939477665266j,20790.278530078787+19256.516897340756j,21950.394218094112+20189.762745517393j,23155.669220227734+21142.17285295608j,24407.897570189485+22113.175553928366j,25708.97923882283+23102.123558842348j
101531.794,561.1633848783076+567.2132036478081j,733.0994272465916+740.731763956345j,928.0747028223101+937.3723973300339j,1146.149865196554+1157.13219991066j,1387.4006139259373+1400.0076410019606j,1651.9193918047447+1665.9944332121172j,1939.8170973902377+1955.087384670399j,2251.224816295041+2267.280229214355j,2586.295574724076+2602.56543035421j,2945.206118512106+2960.9339542196685j,3328.1587223587317+3342.3750061498386j,3735.383033130283+3746.8757249065097j,4167.137951703435+4174.420827844948j,4623.71355885438+4624.992199698662j,5105.433089478151+5098.568416904434j,5612.654960109136+5595.12419863145j,6145.774858621256+6114.6297748297675j,6705.227934448207+6657.052580542691j,7291.49093649122+7222.350319438558j,7905.084550716066+7810.473807504868j,8546.575805816987+8421.366950660095j,9216.580541111154+9054.964352512798j,9915.765956366933+9711.189923114358j,10644.853287532831+10389.955304893288j,11404.620578043501+11091.158095798457j,12195.90556949787+11814.679846883433j,13019.608677075095+12560.383810731411j,13876.696142336437+13328.112410864527j,14768.203247704629+14117.684405647307j,15695.237706117241+14928.891709909803j,16658.983113322993+15761.49584244058j,17660.702612297915+16615.223952200522j,18701.742589697114+17489.76438747316j,19783.536538382497+18384.761752617294j,20907.60899246942+19299.811403478194j,22075.57960073115+20234.453317470136j,23289.167174155686+21188.1652854712j,24550.19399281049+22160.355328841997j,25860.58973967502+23150.353319758346j
102306.4677,563.865613478203+568.6768055378463j,736.6311360379275+742.6421205218915j,932.5482038270179+939.7886775261795j,1151.6783797204255+1160.1133932318323j,1394.098498522004+1403.612512265086j,1659.9023899514746+1670.281470953325j,1949.2026173583276+1960.114742610723j,2262.1322354317954+2273.105660125118j,2598.846570753729+2609.246211521994j,2959.525028392778+2968.526803566321j,3344.3729295611824+3350.935987894219j,3753.623383607744+3756.4601434717556j,4187.5391997858715+4185.083108516488j,4646.414843728051+4636.78575430831j,5130.57844435291+5111.54549257099j,5640.393853729284+5609.3357073125835j,6176.262769250577+6130.125101146065j,6738.626964770254+6673.879383811887j,7327.970458178575+7240.554260430514j,7944.821894020822+7830.098272956152j,8589.75698491896+8442.452750497481j,9263.401022608456+9077.549367712878j,9966.431474137738+9735.308708107357j,10699.58069972358+10415.638638740636j,11463.638774701016+11118.432475568112j,12259.45641494359+11843.566916459033j,13087.948039468136+12590.899715471038j,13950.094933348477+13360.267071359733j,14846.948529608146+14151.480699124859j,15779.633858536296+14964.3245480708j,16749.353085888153+15798.55113179078j,17757.389152089585+16653.87742884912j,18805.109617968203+17529.98030179529j,19893.970511529384+18426.491395676803j,21025.520338834263+19342.991451207425j,22201.40423425103+20279.00397017559j,23423.368038880024+21233.98818260589j,24693.262547459704+22207.331222124158j,26013.04767652422+23198.339447946197j
103087.0519,566.5744310756133+570.1421335530947j,740.1714825659037+744.5547147418631j,937.0326884607426+942.2077666817298j,1157.22053361233+1163.0980223218382j,1400.8130039996718+1407.2214962353505j,1667.9053357009475+1674.5733418316604j,1958.6117801826335+1965.1476895363721j,2273.067388873542+2278.937461586065j,2611.4298210399056+2615.9341589775545j,2973.881178449781+2976.127615482143j,3360.629871810881+3359.5057130427003j,3771.9125211843066+3766.0540521726443j,4207.99590037595+4195.755570267633j,4669.178921973478+4648.590100043621j,5155.794677738765+5124.533859511009j,5668.212531705032+5623.55886410651j,6206.840279434087+6145.6322506558045j,6772.1264118817+6690.717959617172j,7364.56232101862+7258.769646855995j,7984.684719764912+7849.73352228341j,8633.078137512646+8463.548271674283j,9310.3774512563+9100.142564841348j,10017.270543734896+9759.4335719122j,10754.501057565047+10441.325285488108j,11522.871277697737+11145.706626208575j,12323.245092056499+11872.449309271293j,13156.55111281144+12621.405443246324j,14023.785877136337+13392.4048347219j,14926.01723662921+14185.251962597256j,15864.387777328295+14999.722593322127j,16840.11848456216+15835.559988367339j,17854.512421149106+16692.470671803218j,18908.958569472583+17570.119703633005j,20004.93586856025+18468.125402008667j,21144.01711354014+19386.053480975115j,22327.873298353275+20323.410496333883j,23558.27761729344+21279.636590500726j,24837.109808104397+22254.097404316562j,26166.36041727844+23246.075102801664j
103873.592,569.2898323467214+571.6091925741498j,743.7204602952179+746.4695527562122j,941.5281491065066+944.6296722182982j,1162.7763185447502+1166.0860958295139j,1407.5441218087697+1410.8346026369197j,1675.9282210555052+1678.8700563735383j,1968.0445795168428+1970.1862363548357j,2284.030273378305+2284.7756442852674j,2624.045327297842+2622.629282373038j,2988.27457783736+2983.7363975081826j,3376.929568091375+3368.084185648222j,3790.250479605037+3775.6574498322025j,4228.508105291617+4206.438204528611j,4692.005868360635+4660.405218278164j,5181.081893974499+5137.533485793676j,5696.111137547707+5637.793619831893j,6237.507576169166+6161.151152227645j,6805.726516747235+6707.568209216868j,7401.266829710949+7276.996345644853j,8024.673416744556+7869.379379971471j,8676.539741917288+8484.653286906712j,9357.510409590457+9122.74365372947j,10068.283869479967+9783.564148381258j,10809.615220174055+10467.0147872347j,11582.31911175771+11172.97998035955j,12387.272810761118+11901.326327540488j,13225.41931653695+12651.900141454273j,14097.770673281131+13424.524663056218j,15005.411340442788+14218.99694120879j,15949.501760096562+15035.084334025327j,16931.281968493982+15872.520598938692j,17952.075459638334+16731.001515310258j,19013.292983158008+17610.18000922772j,20116.436636248138+18509.66070395414j,21263.103934918538+19428.993855827008j,22454.99199748686+20367.668601518155j,23693.9017744913+21325.105448614195j,24981.742425043623+22300.64791770361j,26320.53538310103+23293.55329539643j
104666.1332,572.0118120237128+573.0779875181215j,747.2780627645735+748.3866407494831j,946.0345782941451+947.0544016090471j,1168.345726317374+1169.0776224595274j,1414.291843607045+1414.4518412505845j,1683.9710383565862+1683.1716251571538j,1977.5010094968072+1975.2303940126203j,2295.020886335299+2290.620218925602j,2636.693092207129+2629.331591336175j,3002.705236461196+2991.3531571051844j,3393.2720396526684+3376.671409597937j,3808.6372939322373+3785.270334995156j,4249.075868481581+4217.13100229788j,4714.895760918416+4672.2310897537245j,5206.440201264524+5150.544338596597j,5724.089814404927+5652.0399241224995j,6268.264849862806+6176.681733106174j,6839.427525117291+6724.430031721555j,7438.084298373486+7295.234220873628j,8064.78837568008+7889.0356669739695j,8720.142284733796+8505.767564303591j,9404.800499835517+9145.352338158078j,10119.472188389756+9807.700063505232j,10864.924056755888+10492.706677114089j,11641.98333002927+11200.251958953413j,12451.540824377522+11930.197258674103j,13294.554148055617+12682.38293806829j,14172.051050139695+13456.625497391971j,15085.132872104437+14252.714353120227j,16034.978139834477+15070.408227672255j,17022.8462800734+15909.431110031914j,18050.081430886297+16769.467743184257j,19118.11644094075+17650.158581026528j,20228.476944345126+18551.094164826714j,21382.78542867007+19471.808865766267j,22582.765620848957+20411.773896863942j,23830.246560835214+21370.38957415792j,25127.167139093108+22346.976671850676j,26475.580159738565+23340.76687169703j
105464.7215,574.7403648929757+574.5485233384511j,750.8442835932732+750.3059849503745j,950.5519686270802+949.4819623778712j,1173.9287488903324+1172.0726109720204j,1421.0561612385109+1418.0732219128242j,1692.0337801254768+1687.4780588108945j,1986.9810644565964+1980.2801734922873j,2306.0392253829787+2296.4711962211213j,2649.3731185786564+2636.0410954667677j,3017.1731653685883+2998.9779016450175j,3409.6573074683893+3385.267388611864j,3827.072999446391+3794.892705926197j,4269.699244729339+4227.833954137943j,4737.848678531239+4684.0676945760215j,5231.8697082749695+5163.566384213055j,5752.14871108465+5666.297725350877j,6299.112295813947+6192.223918856257j,6873.229689245776+6741.303324013359j,7475.015045265465+7313.483133782871j,8105.0299927022215+7908.7022006117295j,8763.886256072918+8526.890867405005j,9452.248321360843+9167.968316298004j,10170.836223754524+9831.840936554616j,10920.428455954523+10518.400478811818j,11701.864985558415+11227.521972002492j,12516.0503778707+11959.061377006841j,13363.957073686866+12712.852945943458j,14246.628751267715+13488.706257951424j,15165.183876556846+14286.402891237103j,16120.81931199584+15105.692698467647j,17114.81413209503+15946.289634419067j,18148.533477192468+16807.86709764583j,19223.432597700445+17690.05272412463j,20341.060924378166+18592.422585815853j,21503.066359384415+19514.494714238244j,22711.19950404761+20455.721900764755j,23967.31798035331+21415.483683728067j,25273.390689641485+22393.077451650148j,26631.502343425447+23387.708527603845j
106269.4028,577.475485802122+576.0208050246472j,754.4191164826767+752.2275916314535j,955.0803128405319+951.9123620993355j,1179.525378377501+1175.071070181647j,1427.8370667787685+1421.6987545148063j,1700.1164392064943+1691.7893680121283j,1996.4847391914889+1985.3355858116765j,2317.0852888300756+2302.3285868951407j,2662.085410119921+2642.7578043325184j,3031.6783759284663+3006.610638408653j,3426.0853947664955+3393.8721262258646j,3845.5576343821454+3804.524560585336j,4290.378290248465+4238.547050162153j,4760.864702666469+4695.915012190315j,5257.370528869274+5176.5995879820375j,5780.287977104371+5680.566970656351j,6330.050109377926+6207.777633409082j,6907.133260834233+6758.1879808340655j,7512.059391340781+7331.742942768891j,8145.398674278067+7928.378794388281j,8807.77216069442+8548.022954817512j,9499.854485700716+9190.591280262839j,10222.376723224606+9855.98637888476j,10976.129317650595+10544.095706635211j,11761.965151770393+11254.789417688513j,12580.802758575817+11987.917941441145j,13433.629605861417+12743.309259144371j,14321.50555231176+13520.765842897748j,15245.566413623013+14320.061222867502j,16207.027675742545+15140.936140242815j,17207.188346087205+15983.094241199964j,18247.434835949134+16846.197270114295j,19329.24509206132+17729.859692429964j,20454.19278910962+18633.642698054256j,21623.951489349027+19557.04752926441j,22840.299103473844+20499.50802914269j,24105.12213389047+21460.382376373873j,25420.420048335756+22438.943886710185j,26788.30967445486+23434.370788966822j
107080.2237,580.2171696565727+577.4948376021594j,758.0025552178781+754.1514671088801j,959.6196037851007+954.3456083978028j,1185.135607024673+1178.073008956905j,1434.6345524344335+1425.3284490016822j,1708.2190086334067+1696.105563485973j,2006.0120287262716+1990.3966420209874j,2328.159075237627+2308.192401677592j,2674.8299711215686+2649.481727465473j,3046.2208805064133+3014.2513745790193j,3442.556324428942+3402.485625800152j,3864.0912367247565+3814.165896638394j,4311.113063983493+4249.270280009356j,4783.9439166894535+4707.773021367824j,5282.942776640639+5189.643914332878j,5808.507768498928+5694.847605831242j,6361.0784947877555+6223.342798880182j,6941.138503064436+6775.083894512909j,7549.217668194016+7350.013503154488j,8185.89483211244+7948.0652580221185j,8851.800504043276+8569.163580491528j,9547.619626041607+9213.220915626795j,10274.09444888538+9880.135994008246j,11032.027552211439+10569.791865399777j,11822.284928095505+11282.053681815545j,12645.799267459879+12016.766196313332j,13503.573281147448+12773.750953487513j,14396.68323552934+13552.803129350626j,15326.28257863293+14353.68798804486j,16293.605665478219+15176.136914012119j,17299.97169966311+16019.842965626747j,18346.788706955267+16884.455910436158j,19435.557688906607+17769.576675765948j,20567.87677236025+18674.751166554917j,21745.445690508088+19599.463351172464j,22970.069899782025+20543.12760317339j,24243.665249322396+21505.080127031768j,25568.26212492719+22484.56948331098j,26946.009908533695+23480.7460245819j
