Frequency,N=7,N=8,N=9,N=10,N=11,N=12,N=13,N=14,N=15,N=16,N=17,N=18,N=19,N=20,N=21,N=22,N=23,N=24,N=25,N=26,N=27,N=28,N=29,N=30,N=31,N=32,N=33,N=34,N=35,N=36,N=37,N=38,N=39,N=40,N=41,N=42,N=43,N=44,N=45
100000,555.7785479496372+564.3021796321981j,726.0616270579787+736.9393324335066j,919.1601139504762+932.5872812566981j,1135.132849869516+1151.2463854015891j,1374.0532777573221+1392.9171954362077j,1636.0110925096724+1657.6004204482156j,1921.11390778773+1945.2968800114634j,2229.4889423404043+2256.0074373169296j,2561.2847303746444+2589.7329098988816j,2916.6728592957807+2946.47395383088j,3295.849738938497+3326.2309167848666j,3699.03840892261+3729.0036547556324j,4126.490385281912+4154.791306620728j,4578.487557286723+4603.592020177175j,5055.344133215562+5075.402622537636j,5557.408649406369+5570.218227197129j,6085.06603746921+6088.031769188581j,6638.7398099825405+6628.835843584306j,7218.894193029085+7192.616051618666j,7826.036475888048+7779.353996589466j,8460.719424341565+8389.027471061127j,9123.543780999735+9021.608324745537j,9815.160848620464+9677.061336118208j,10536.275235639503+10355.34292278561j,11287.647682966095+11056.399672936117j,12070.098055461058+11780.166676523793j,12884.508463525668+12526.565633875582j,13731.826504852106+13295.50271730107j,14613.068686528044+14086.866156722917j,15529.324044244606+14900.523517146286j,16481.757821077066+15736.318639123878j,17471.61542732992+16594.068196590677j,18500.226507630032+17473.55783620116j,19569.009242597276+18374.537845987616j,20679.474749349603+19296.71830846359j,21833.231674989976+20239.763676859504j,23031.991073958452+21203.286702182657j,24277.57124081599+22186.841663787898j,25571.902819353134+23189.91680316533j
100762.9863,558.4676049035115+565.7625104605576j,729.576084799595+738.8455585547915j,923.6117050613137+934.9985562901629j,1140.6341975615287+1154.221736017188j,1380.7181173686313+1396.5154894064594j,1643.9545183861123+1661.880329940258j,1930.452645728294+1950.3168396365436j,2240.3416484333075+2261.8255963536885j,2573.7723165290995+2596.407077984423j,2930.918845542511+2954.061539280424j,3311.9806351571374+3334.7888565767025j,3717.1841238900292+3738.5883350107147j,4146.784666748288+4165.458472280121j,4601.068462751967+4615.3966723308695j,5080.354532862306+5088.398901671292j,5584.99676110519+5584.459280343213j,6115.386000960142+6103.569598739444j,6671.9522935415425+6645.721153746748j,7255.167037161408+7210.898024272805j,7865.545382771712+7799.080068902595j,8503.648686819377+8410.243090479064j,9170.08704720419+9044.356660116206j,9865.521955000271+9701.382948924183j,10590.669060864953+10381.27539370461j,11346.301081467936+11083.977177136601j,12133.250826222507+11809.419501665368j,12952.41436893271+12557.519633405656j,13804.75436680429+13328.17869010444j,14691.30356791877+14121.279143061704j,15613.168404876415+14936.682004625793j,16571.532850882133+15774.223660020038j,17567.66238398051+16633.712309391754j,18602.90814426194+17514.92397382433j,19678.71127184169+18417.59801715287j,20796.607451746728+19341.432127771746j,21958.231564921796+20286.076707282045j,23165.322521263402+21251.12859597816j,24419.728340349822+22236.124054678832j,25723.41124340549+23240.530939784585j
101531.794,561.1632622980752+567.2245601137446j,733.0991948274675+740.7540147913453j,928.0742975545813+937.4126339267673j,1146.149205572207+1157.2005194252758j,1387.399601781337+1400.1178996580543j,1651.9179182958471+1666.165087061484j,1939.8150548331055+1955.3424194729323j,2251.222118030598+2267.6501814450494j,2586.292185497936+2603.088501722462j,2945.2020985973218+2961.657222497043j,3328.1542887162204+3343.355735540703j,3735.3786420935576+3748.1827796713214j,4167.13440803871+4176.136193385644j,4623.712156300087+4627.212615846134j,5105.435790128213+5101.407128710043j,5612.664619224687+5598.712830542639j,6145.795503634898+6119.120334744189j,6705.265105252394+6662.619602910737j,7291.552105558483+7229.19314862029j,7905.179627674117+7818.819036362831j,8546.717740546193+8431.471022636772j,9216.786048323334+9067.116334750192j,9916.056366788136+9725.714461960666j,10645.255563474084+10407.215774520095j,11405.1684984161+11111.559951693875j,12196.641124475133+11838.674195962427j,13020.58368608682+12588.47121074723j,13877.974146009696+13360.846911404744j,14769.861689732272+14155.677843989351j,15697.370470513157+14972.818273651197j,16661.70343553929+15812.09691209982j,17664.146445881004+16673.313234315927j,18706.072451257958+17556.233350186518j,19788.94594819202+18460.585369781656j,20914.327511300664+19386.054218062884j,22083.87862421309+20332.275822953416j,23299.366509050677+21298.83062879677j,24562.66938966321+22285.236324417227j,25875.78139476991+23290.939769108343j
102306.4677,563.8655147138651+568.6883334298085j,736.6309504753067+742.6647072540197j,932.5478836707625+939.8295215942942j,1151.6778653557246+1160.1827443482066j,1394.0977222049946+1403.724436101815j,1659.9012839544844+1670.4547027000215j,1949.2011283535987+1960.3736310469594j,2262.1303473670614+2273.481204261588j,2598.8443387402167+2609.777192249947j,2959.522626911038+2969.261013174239j,3344.3707184671744+3351.931560760777j,3753.6219966509407+3757.7869917271137j,4187.539660076014+4186.824466974796j,4646.418712565716+4639.039839519033j,5130.588009271296+5114.427281404509j,5640.412364689799+5612.978841089825j,6176.294729841097+6134.683921946111j,6738.678488219662+6679.531112316439j,7328.049704280844+7247.5013165413375j,7944.93959309412+7838.570754486903j,8589.92706802973+8452.71107827455j,9263.641368002296+9089.887104961988j,9966.764797536916+9750.055565383595j,10700.035601863188+10433.16367565781j,11464.250971366706+11139.147511016456j,12260.270180080497+11867.930159336627j,13089.017885669427+12619.419628646263j,13951.487562113158+13393.50648169752j,14848.745098691068+14190.061166076204j,15781.932601836059+15008.93100380235j,16752.27233211771+15849.936805153862j,17761.07079326761+16712.86906478132j,18809.72311055701+17597.48368533195j,19899.717442934027+18503.49719057258j,21032.639665268885+19430.581357554667j,22210.17825593835+20378.357205051798j,23434.12921948707+21346.388280707994j,24706.401284486037+22334.173149394697j,26029.021128429842+23341.137014692067j
103087.0519,566.5743567847029+570.1538352840603j,740.1713451507403+744.5776420996322j,937.0324557663185+942.2492267742383j,1157.2201685174682+1163.168419567986j,1400.8124700169915+1407.3351087104415j,1667.9046073546037+1674.7491878045187j,1958.6108600065463+1965.4104859376384j,2273.0663333595985+2279.3186765084843j,2611.4287781652647+2616.4731607032763j,2973.880440024191+2976.872920960839j,3360.629944647573+3360.516339204929j,3771.914221233476+3767.400973953352j,4208.000475213586+4197.523289742478j,4669.188207665438+4650.878331628923j,5155.811296507438+5127.4593367640955j,5668.240139453737+5627.257274262998j,6206.883868957133+6150.260303693606j,6772.192685918934+6696.455601367667j,7364.660145258424+7265.822417478327j,7984.825670120117+7858.335075634982j,8633.277151033493+8473.963064214824j,9310.653605465835+9112.668721858245j,10017.64797651362+9774.405942810961j,10755.01005406852+10459.118699372022j,11523.549548627574+11166.739359620256j,12324.139259234531+11897.186778721541j,13157.71845693469+12650.364134576823j,14025.296355666695+13426.156482928523j,14927.955827833546+14224.427994689395j,15866.857193871641+15045.018846608184j,16843.242289980877+15887.741717477556j,17858.43862865045+16752.37785433015j,18913.863771277644+17638.672655017064j,20011.02996647695+18546.330707997953j,21151.548736823002+19475.01025154028j,22337.135978493403+20424.3169455513j,23569.616855539432+21393.796934856367j,24850.931094080006+22382.92907610719j,26183.138382504752+23391.11625646337j
103873.592,569.2897831992316+571.6210705889978j,743.7203723437412+746.492825530665j,941.5280062627446+944.6717570012835j,1162.7761067971244+1166.1575539256078j,1407.5438367766901+1410.9499275185126j,1675.927880669367+1679.048553382459j,1968.044243712547+1970.452995772454j,2284.0300731744005+2285.162609919884j,2624.045506029345+2623.1764182166344j,2988.2755479816665+2984.4929554520536j,3376.931987371029+3369.1100777176553j,3790.2553511819197+3777.0247289044j,4228.5169073606485+4208.232658030804j,4692.020719555134+4662.728079927576j,5181.105760268348+5140.503271041856j,5696.148091625264+5641.548091271742j,6237.563114435263+6165.849421905208j,6805.807947071364+6713.392987576375j,7401.383743974071+7284.156338420427j,8024.838258342245+7878.1118489220635j,8676.768485121129+8495.226783084658j,9357.823363200394+9135.460931447826j,10068.706634611475+9798.765271519089j,10810.17981487649+10485.080439573441j,11583.065293110467+11194.334991868494j,12388.249621191751+11926.44342920528j,13226.68688360035+12681.30396148687j,14099.402302545232+13458.795977507669j,15007.495942513677+14258.777191801748j,15952.146649958408+15081.080426425666j,16934.616104871337+15925.509992558289j,17956.25315251138+16791.837617711135j,19018.498173590517+17679.79788196452j,20122.887785718285+18589.083089946347j,21271.059633661203+19519.33753059191j,22464.75733785133+20470.151052757094j,23705.835689754524+21441.05187132514j,24996.26595578254+22431.498528292577j,26338.141144603924+23440.870931610232j
104666.1332,572.0117887007904+573.0900442940211j,747.2780256175481+748.4102637949743j,946.0345277338748+947.097119863156j,1168.3456720732302+1169.150156320388j,1414.2918142815893+1414.5689026213154j,1683.9710964539545+1683.3528104993213j,1977.501273905962+1975.5011722271092j,2295.021564638182+2291.0130162583346j,2636.6945257432826+2629.886975919002j,3002.7079615705106+2992.121126188509j,3393.276869033345+3377.7127830144314j,3808.6454232364576+3786.658258903991j,4249.089012892494+4218.952567812078j,4714.916328963389+4674.589071619264j,5206.471512435253+5153.559059706324j,5724.136369721913+5655.851252266985j,6268.332662685093+6181.451217049835j,6839.5245258958+6730.343186511476j,7438.220825044382+7302.502963772551j,8064.977764200898+7897.9009201695035j,8720.401573640354+8516.502033304785j,9405.15126484499+9158.263474150526j,10119.941533122526+9823.133221591881j,10865.545782528738+10511.048482078044j,11642.799300983781+11221.93389110344j,12452.602566998215+11955.699472154287j,13295.924720473071+12712.23832444771j,14173.8072028368+13491.42400833459j,15087.367558402646+14293.107594512487j,16037.803416370076+15117.114338199866j,17026.396647249145+15963.239936424747j,18054.517687263604+16831.246322065508j,19123.630089909806+17720.856938625755j,20235.29525935303+18631.751439527434j,21391.17725465517+19563.559756990333j,22593.047967983082+20515.855444318375j,23842.79217120903+21488.14825390808j,25142.4130878375+22479.875803079998j,26494.03759910488+23490.394314410994j
105464.7215,574.7403680892426+574.5607613852827j,750.8442986168496+750.3299631853658j,950.5520128350137+949.5253229997364j,1173.9288563815103+1172.1462357095693j,1421.0563944864539+1418.1920441736697j,1692.0342474149334+1687.661970276874j,1986.9819452145732+1980.5550270225972j,2306.0408058150206+2296.8699073109487j,2649.3758406806155+2636.604844930122j,3017.1776926557586+2999.7574426489864j,3409.6646119406196+3386.3244616781576j,3827.084474275118+3796.301566044062j,4269.7168485388875+4229.683014688177j,4737.875117872523+4686.461293351809j,5231.908665757135+5166.626677443854j,5752.205127459005+5670.166716279367j,6299.192716168038+6197.065628075523j,6873.34268251069+6747.306111740074j,7475.1717171404625+7320.862175370727j,8105.244595977344+7917.7021319533105j,8764.17692315295+8537.788609127996j,9452.6379292525+9181.076085296814j,10171.35342415981+9847.50945681746j,10921.108880383865+10537.022403802197j,11702.752664421985+11249.535530683908j,12517.199394930209+11984.95425658226j,13365.433496836104+12743.166424250172j,14248.512876341005+13524.03959866265j,15167.57281480313+14327.418015776091j,16123.830001007489+15153.119145576875j,17118.586780395184+16000.929821893707j,18153.235547517485+16870.60189432196j,19229.26338499762+17761.847341621116j,20348.25677416864+18674.332798656636j,21511.906665544215+19607.6734080714j,22722.013550061325+20561.425949121658j,23980.492753156566+21535.081144582662j,25289.37975646835+22528.055072094856j,26650.83596197662+23539.679531441616j
106269.4028,577.4755162255001+576.0332268854119j,754.4191850682544+752.2519300393096j,955.0804543421486+951.9563741030355j,1179.5256519205661+1175.1458011073591j,1427.8375696007224+1421.8193623892103j,1700.117326592736+1691.9760438921926j,1996.4862527435769+1985.6145719246058j,2317.0877954677126+2302.7332948875837j,2662.089455180233+2643.3300363572425j,3031.684753563759+3007.4019142476427j,3426.0952405188254+3394.9451201451575j,3845.572544290458+3805.954652160389j,4290.40047288309+4240.423993874646j,4760.897170839262+4698.344731196976j,5257.417337871275+5179.706098100434j,5780.354519729196+5684.494441236931j,6330.143476398912+6212.69259248066j,6907.262678191188+6764.281674870908j,7512.2367523322555+7339.23385246105j,8145.639174870341+7937.5153233153505j,8808.095056354969+8559.086300254263j,9500.283993088018+9203.898494501826j,10222.943080782767+9871.893633780051j,10976.870040150405+10563.00177308992j,11762.926498933699+11277.139372894999j,12582.041441000447+12014.207117319367j,13435.214792128176+12774.08744393229j,14323.521176574512+13556.641751019642j,15248.113873245899+14361.707244096644j,16210.228917711525+15189.093383524436j,17211.18945889066+16038.57788161888j,18252.410142966663+16909.90221326793j,19335.401904224498+17802.766559209664j,20461.77678364349+18716.824143749094j,21633.252942738913+19651.67488787301j,22851.65992112991+20606.858294485333j,24118.943965139115+21581.84549445536j,25437.173450983446+22576.030358423497j,26808.544592575636+23588.71954501308j
107080.2237,580.2172280262539+577.5074458533961j,758.0026787811385+754.1761707387126j,959.6198451513833+954.3902809163567j,1185.136051008738+1178.148861584365j,1434.6353319613024+1425.4508675395266j,1708.2203272539496+1696.2950425761692j,2006.01419182659+1990.679818740523j,2328.162532646934+2308.603190818244j,2674.835374172393+2650.0625612914273j,3046.229157566927+3015.054550327789j,3442.5687789428093+3403.5747647120274j,3864.1096729499304+3815.6175188443935j,4311.139947277829+4251.175500177182j,4783.982574098822+4710.239370640477j,5282.9976463446355+5192.797294718639j,5808.584707480555+5698.8343838709325j,6361.185154892738+6228.332046110494j,6941.2847846125005+6781.269785344539j,7549.4162737440565+7357.617871482743j,8186.161925092488+7957.340329903407j,8852.156496534619+8580.394892128184j,9548.09010871196+9226.730425525095j,10274.711294753753+9896.285401689851j,11032.83021080098+10588.986149257104j,11823.321947641045+11304.744868457568j,12647.13006242389+12043.457375311767j,13505.270201949395+12805.000549887354j,14398.83397004988+13589.229447899304j,15328.992919091943+14395.974043043814j,16297.002724320217+15225.035555561873j,17304.207603826762+16076.182315718j,18352.044850680126+16949.145118006927j,19442.04961850753+17843.611998872086j,20575.859789475366+18759.22238593254j,21755.221248100876+19695.560518964714j,22981.992917533353+20652.14811943887j,24258.152472578753+21628.43613455142j,25585.801615066433+22623.795564249573j,26967.1718818233+23637.50716347078j
