f,N=4,N=5,N=6,N=7,N=8,N=9,N=10,N=11,N=12,N=13,N=14,N=15,N=16
100000,(114.11694441721956+115.71098160202827j),(157.17918183933406+159.31719471200284j),(206.35269263171057+209.10741104940604j),(263.40689854186974+266.8470125791674j),(326.7255370484894+330.91860718674684j),(398.29826675185615+403.27143228755494j),(474.8852905729019+480.7383897576539j),(560.8269829777653+567.529775022713j),(653.4913602973+661.0654767381305j),(752.3310293657041+760.8054879254007j),(858.8087861456307+868.0934042839589j),(970.6006484759362+980.8874402206621j),(1088.871468910052+1099.9766855394216j)
100762.9863,(114.66881979975935+116.00955397174587j),(157.93944693221965+159.72803008680262j),(207.3509389230996+209.64641174092418j),(264.68149258286115+267.534545850826j),(328.3068605469014+331.77093266323675j),(400.2268999007342+404.30963933787547j),(477.18513445354165+481.97573751082484j),(563.5445949181677+568.9898403068867j),(656.6598167192587+662.7654371732431j),(755.980633999001+762.7611720327548j),(862.9782070936305+870.3237215976249j),(975.3143583678749+983.4068883003793j),(1094.1633241135212+1102.8007450373489j)
101531.794,(115.22204525975965+116.30847005536656j),(158.7015742547605+160.1393353899913j),(208.35163261751825+210.1860262079934j),(265.95921740261264+268.22285780383874j),(329.8920739995018+332.62421933952385j),(402.1602927436686+405.3490091161079j),(479.49066030064023+483.2144667295572j),(566.268947446426+570.4515231380739j),(659.8361628927854+664.4672666097706j),(759.6393591870248+764.7189913259724j),(867.1581034885833+872.5564497501624j),(980.0399375072449+985.9290471518857j),(1099.4685681599512+1105.627815693209j)
102306.4677,(115.77661961113857+116.60773079041402j),(159.46556221074178+160.5511118769129j),(209.35477165616902+210.72625606557415j),(267.2400704671297+268.911950439584j),(331.48117435236793+333.47846963934956j),(404.0984418033229+406.3895444457279j),(481.80186407871554+484.4545807182726j),(569.0000362074591+571.9148272041623j),(663.0203942495883+666.1709690969731j),(763.3072001734049+766.6789502051214j),(871.3484707627961+874.7915933284503j),(984.7773812273365+988.4539217427844j),(1104.787197010439+1108.4579025824623j)
103087.0519,(116.33254167781867+116.90733712185434j),(160.23140921876907+160.963360812779j),(210.3603539985216+211.2671029411552j),(268.5240492660729+269.6018257747161j),(333.0741585892349+334.3336860045929j),(406.04134365356754+407.43124817052063j),(484.11874179384625+485.69608280466554j),(571.7378569228791+573.3797562174734j),(666.2125062782459+667.8765487088649j),(766.9841523168816+768.6410530954589j),(875.549304535529+877.029156941773j),(989.5266849605482+990.9815170618829j),(1110.1192064590841+1111.2910107949763j)
103873.592,(116.8898102941394+117.20729000205029j),(160.99911371126325+161.37608347255855j),(211.36837762439916+211.80856847470267j),(269.81115131669685+270.29248584098207j),(334.67102372023004+335.18987089514366j),(407.98899489939777+408.4741231542404j),(486.4412894954736+486.93897633959443j),(574.4824053691037+574.8463139146014j),(669.4124945817395+669.5840095442221j),(770.6702110767687+770.6053044461223j),(879.7606005506975+879.2691452202419j),(994.2878443339248+993.5118381188923j),(1115.4645927538631+1114.1271454367984j)
104666.1332,(117.4484243048283+117.5075903907125j),(161.7686741368147+161.78928114095584j),(212.37884053344385+212.3506543185579j),(271.1013741619958+270.9839326851992j),(336.2717667978596+336.04702678872144j),(409.9413922015499+409.5181722806516j),(488.76950331372507+488.1832646968144j),(577.2336774029484+576.3145040556534j),(672.6203548601546+671.2933557254976j),(774.3653720313516+772.5717087301502j),(883.9823547068852+881.5115628141473j),(999.060855146452+996.0448899428761j),(1120.8233521150303+1116.9663116282436j)
105464.7215,(118.00838256543287+117.80823925486908j),(162.5400889583905+162.20295511233007j),(213.39174074589633+212.89336213736976j),(272.3947153750728+271.6761683690177j),(337.87638490331403+336.9051561807269j),(411.8985322622129+410.5633984530101j),(491.10337941903083+489.4289512726102j),(579.9916689476815+577.7843304244008j),(675.8360828584443+673.0045913989152j),(778.0696308667111+774.5402704435705j),(888.2145629661193+883.75641439342j),(1003.845713323434+998.5806775814324j),(1126.1954811174273+1119.8085145024454j)
106269.4028,(118.56968394234667+118.10923756882147j),(163.31335665475453+162.61710669064107j),(214.40707630287582+213.43669360798498j),(273.6911725532612+272.3691949689022j),(339.4848751565105+337.7642615840965j),(413.8604118349789+411.60980459404243j),(493.4429140336055+490.67603948555205j),(582.756376012198+579.2557968275412j),(679.0596744590646+674.7177207333862j),(781.7829833794283+776.510994104758j),(892.4572215326743+886.0037046463353j),(1008.6424149535776+1001.1192061002773j),(1131.5809764991363+1122.653759204151j)
107080.2237,(119.13232731365785+118.41058631409638j),(164.08847572097687+163.03173718937373j),(215.42484526719562+213.98065041934603j),(274.99074332424277+273.06301457591405j),(341.09723471726454+338.62434552910224j),(415.82702771303383+412.65739364566946j),(495.78810345423256+491.92453277616676j),(585.5277946514898+580.7289070945324j),(682.2911256130237+676.4327479205631j),(785.5054254657325+778.4838842537993j),(896.7103266704773+888.2534382793892j),(1013.4509563329302+1003.6604805813183j),(1136.979835148241+1125.5020508891266j)
