f,N=4,N=5,N=6,N=7,N=8,N=9,N=10,N=11,N=12,N=13,N=14,N=15,N=16
100000,(120.69015578647512+122.01354180405528j),(164.28180064391765+166.0630608915788j),(214.58794331528452+216.8877998206919j),(271.61352862019567+274.48796996225127j),(335.3648984506517+338.8624507676918j),(405.84996710345973+410.0108576025691j),(483.078396389487+487.9327250153449j),(567.0617716975644+572.627499802689j),(657.813778632666+664.0945327886267j),(755.3503802015116+762.3330691155313j),(859.6899957900418+867.3422368955714j),(970.8536804219327+979.1210340808234j),(1088.8653051630213+1097.668313431781j)
100762.9863,(121.27370515857324+122.32651817750383j),(165.0762123741743+166.4889497323055j),(215.6257790119268+217.44393891360988j),(272.9274240013498+275.1916858672603j),(336.9875842886977+339.7310449902421j),(407.8142927771736+411.06160806279195j),(485.41735618645805+489.1828807925564j),(569.8085336050651+574.0942753157058j),(661.0017157949005+665.7951013861582j),(759.0131054551039+764.2845560463448j),(863.8613982762674+869.5617116113006j),(975.567965140573+981.6255018340868j),(1094.1570362594148+1100.4747061284602j)
101531.794,(121.85868014154227+122.63983709325312j),(165.87256642200327+166.91530356608328j),(216.6661549196549+218.0006836492526j),(274.2445397055474+275.8961659415182j),(338.61425410454507+340.6005792897363j),(409.7834513142746+412.1134913282634j),(487.76208491707047+490.43437823539114j),(572.5620901693551+575.5626166589707j),(664.1975659698674+667.4974742997458j),(762.6849578381166+766.2380989432183j),(868.0432417795503+871.783505764482j),(980.2941091599739+984.1325627710586j),(1099.4621536125915+1103.2839742496199j)
102306.4677,(122.44507945010886+122.95349939081409j),(166.67086106105393+167.3421235196322j),(217.70906882666196+218.5580354749928j),(275.56487300575935+276.6014119805302j),(340.2449046452057+341.47105582912695j),(411.757438930085+413.1665099380821j),(490.11257834416733+491.68722025611186j),(575.3224367680527+577.0325270995985j),(667.4013241539719+669.2016551145712j),(766.3659322583919+768.1937016527738j),(872.2355211499446+874.0076233822165j),(985.0321075166348+986.6422209874137j),(1104.7806532991708+1106.096121819762j)
103087.0519,(123.0329018091171+123.26750591651242j),(167.47109458282156+167.7694107286843j),(218.75451854217994+219.11599584976784j),(276.8884212012867+277.3074257939206j),(341.87953269436514+342.3424767878254j),(413.73625187693966+414.2206664499141j),(492.468832226632+492.94140978753586j),(578.0895687706775+578.5040099261886j),(670.6129853937705+670.9076474378418j),(770.0560235028952+770.1513680435116j),(876.4382314713506+876.2340685105773j),(989.7819553138934+989.1544805932922j),(1110.112530999041+1108.911152869077j)
103873.592,(123.62214595301734+123.58185752343765j),(168.2732652892358+168.19716633804683j),(219.80250189554545+219.67456624389396j),(278.2151816180552+278.0142092052449j),(343.5181350711023+343.2148443614967j),(415.71988646034924+415.2759634407291j),(494.83084244437754+494.19694978280233j),(580.8634815939789+579.9770684496739j),(673.8325448427183+672.6154548998016j),(773.7552267034307+772.1111020047335j),(880.6513678452156+878.4628452133625j),(994.5436483706198+991.6693457136889j),(1115.4577831804393+1111.729071434923j)
104666.1332,(124.2128106285904+123.89655507138923j),(169.07737150035004+168.62539150132267j),(220.85301674077073+220.23374813889j),(279.54515161098016+278.7217640517191j),(345.160708586567+344.0881607621843j),(417.70833904586544+416.33240350532174j),(497.1986048440259+495.4538432158281j),(583.6441707612768+581.4517060017399j),(677.0599977557334+674.3250811519509j),(777.463536964834+774.072907447161j),(884.8749253323433+880.6939575735333j),(999.3171817755892+994.1868204877196j),(1120.8164057042382+1114.5498815606074j)
105464.7215,(124.80489459151465+124.21159942682183j),(169.88341154860944+169.05408738116324j),(221.90606093848493+220.79354302774883j),(280.8783285462196+279.43009218440136j),(346.80725013024994+344.9624282178175j),(419.7016059859302+417.3899892570679j),(499.5721153469408+496.7120930801424j),(586.4316318286158+582.9279259355083j),(680.2953393606873+676.036529867331j),(781.1809494139112+776.0367883010646j),(889.1088993027809+882.9274096910893j),(1004.1025515181519+996.7069090657712j),(1126.1883950279998+1117.373587295237j)
106269.4028,(125.39839661023342+124.52699146280679j),(170.69138378470126+169.48325514879082j),(222.96163238389101+221.35395241435975j),(282.2147098352424+280.13919546775463j),(348.45775662357255+345.83764897231487j),(421.6996837178592+418.448723327282j),(501.95137000308375+497.9717023886845j),(589.2258604506598+584.4057316247977j),(683.538565109285+677.7498047394347j),(784.9074595290249+778.0027485156701j),(893.3532853266008+885.1632056815074j),(1008.8997535362265+999.2296156084817j),(1131.5737482006043+1120.2001926867754j)
107080.2237,(125.99331546413879+124.84273205897998j),(171.5012865753506+169.9128959842486j),(224.01972898998156+221.91497781366738j),(283.55429291828386+280.84907577959916j),(350.11222500559154+346.71382528514835j),(423.7025687564471+419.50860836474806j),(504.3363648513815+499.2326741742552j),(592.0268523023117+585.885126463924j),(686.7896705699336+679.4649094813503j),(788.6430625846427+779.9707920603737j),(897.6080789117002+887.4013496772615j),(1013.7087838686407+1001.7549442881741j),(1136.9724618982996+1123.0297017899657j)
107897.2311,(126.58964994455985+125.15882210146158j),(172.3131183003503+170.3430110762386j),(225.0803486881568+222.47662075159363j),(284.89707524273877+281.5597350110809j),(351.77065226449565+347.59095943138914j),(425.71025760795476+420.56964703594883j),(506.72709599277744+500.4950114887329j),(594.8346032272627+587.366113866289j),(690.0486512267742+681.1818478272367j),(792.3877541489599+781.9409229227881j),(901.8732758764592+889.6418458240744j),(1018.5296385478448+1004.2828992876355j),(1142.3845330838876+1125.8621186591859j)
108720.4722,(127.18739885482923+125.47526248283222j),(173.12687735826182+170.77360162188853j),(226.14348943683854+223.03888276478222j),(286.2430543123072+282.27117506637757j),(353.4330354159814+348.46905370148465j),(427.72274683718416+421.6318420247374j),(509.12355962164645+501.7587174022366j),(597.6491090504633+588.848697265679j),(693.3155027765628+682.9006235296803j),(796.1415300338867+783.9131451050171j),(906.1488721221631+891.8846982825119j),(1023.36231420256+1006.8134847935073j),(1147.8099590559357+1128.6974473483083j)
109549.9945,(127.7865610109582+125.79205410207025j),(173.94256216709294+171.20466882691167j),(227.20914921675012+223.601765400609j),(287.5922276412316+282.98339786271606j),(355.0993715340426+349.34811040074305j),(429.74003308344965+422.6951960318511j),(511.52575196441643+503.023795003613j),(600.4703657197324+590.332880114642j),(696.5902210160206+684.6212403598055j),(799.9043859163922+785.8874626295304j),(910.4348635659113+894.1299112277673j),(1028.2068073101036+1009.3467050041884j),(1153.2487375349392+1131.5356919044875j)
110385.8459,(128.38713524071557+126.10919786448325j),(174.76017115943034+171.63621390539834j),(228.27732602397373+224.1652702171942j),(288.9445927832442+283.6964053301659j),(356.76965770691066+350.22813184973785j),(431.76211299999625+423.75971177502595j),(513.9336693309003+504.2902473998234j),(603.2983692772666+591.8186658839315j),(699.8728018045481+686.3437021069258j),(803.6763177304003+787.8638795331623j),(914.7312465077715+896.3774888437064j),(1033.0631146059816+1011.8825641219462j),(1158.7008658157733+1134.3768563839617j)
111228.0747,(128.98912038600275+126.42669468168395j),(175.57970278503637+172.06823807978884j),(229.34801788858115+224.72939878293408j),(290.30014731931004+284.4101994113692j),(358.4438910753268+351.10912038386044j),(433.78898332062874+424.82539198828994j),(516.3473080529129+505.55807771620476j),(606.1331157510103+593.3060580642873j),(703.1632410634164+688.0680125792687j),(807.4573213151862+789.8423998727676j),(919.0380170303064+898.6274353331539j),(1037.9312330910984+1014.421066353095j),(1164.1663422718507+1137.2209448209217j)
112076.7296,(129.5925152999243+126.74454547153817j),(176.40115551714203+172.50074258064637j),(230.4212228657126+225.29415267671604j),(291.65888887109884+285.1247820615748j),(360.12206882957054+351.99107835261674j),(435.82064083268483+425.8922394217665j),(518.7666646125475+506.8272890939223j),(608.9746013980791+594.7950601615817j),(706.4615348951359+689.7941756007446j),(811.2473931133125+791.8230277100118j),(923.3551719128617+900.8797548980683j),(1042.8111598136315+1016.9622159100244j),(1169.6451648831335+1140.0679612563936j)
