f,N=4,N=5,N=6,N=7,N=8,N=9,N=10,N=11,N=12,N=13,N=14,N=15,N=16
100000,(120.69014981019828+122.01408942270535j),(164.2817877689094+166.06425347481328j),(214.58791837216242+216.89013637222385j),(271.61348406734896+274.49219477965505j),(335.36482388279535+338.8696231516708j),(405.84984876166027+410.0224304026051j),(483.0782168071293+487.9506320368656j),(567.0615094650839+572.6542521431677j),(657.8134083890222+664.1333241784696j),(755.3498730933323+762.3878903549082j),(859.6893201241269+867.4179994889314j),(970.8528031177057+979.2237031956655j),(1088.864193864496+1097.8050503190286j)
100762.98626466609,(121.27370034925124+122.32707406469274j),(165.076202044316+166.49016032259755j),(215.62575906149942+217.44631074599778j),(272.92738849100994+275.19597447986314j),(336.9875250963734+339.7383256835112j),(407.8141993033014+411.0733556338749j),(485.41721516849697+489.20105826585626j),(569.8083291362791+574.1214317396452j),(661.0014296352905+665.8344787734535j),(759.012717599207+764.3402055486567j),(863.8608880774414+869.638619037499j),(975.5673131647976+981.7297226369997j),(1094.156226610045+1100.6135100009046j)
101531.7940097329,(121.85867653110974+122.64040136524498j),(165.87255870767967+166.91653241663644j),(216.66614010187325+218.0030912586267j),(274.24451348889966+275.90051924646644j),(338.6142107157966+340.6079698155829j),(409.7833833957993+412.12541612862157j),(487.7619835376754+490.45282996506387j),(572.5619450960407+575.5901828519061j),(664.1973661865526+667.5374459304711j),(762.684692530178+766.294588366371j),(868.0429016380315+871.8615741413771j),(980.2936887182912+984.2383571137053j),(1099.4616538919054+1103.4248742248506j)
102306.4676522963,(122.44507707225176+122.95407216541238j),(166.67085603306077+167.3433708869832j),(217.70905927897394+218.56047936399077j),(275.56485633590796+276.6058308867732j),(340.2448774961461+341.4785577309018j),(411.7573972632236+413.1786144583338j),(490.1125176895453+491.705950096846j),(575.3223527051805+577.060508821701j),(667.4012131326967+669.2422293438769j),(766.3657928142785+768.2510428084538j),(872.2353557210605+874.0868690403579j),(985.0319249380519+986.7496110103341j),(1104.7804721066068+1106.2391474008878j)
103087.0519483484,(123.0329006970232+123.26808731306416j),(167.4710923143181+167.7706768727573j),(218.7545144105447+219.11847652767804j),(276.8884143358437+277.3119112223924j),(341.87952222437275+342.3500916291862j),(413.7362371811497+414.23295321354243j),(492.46881340799405+492.9604216448392j),(578.0895473893574+578.5324130136653j),(670.6129655419988+670.9488327309223j),(770.0560133674177+770.2095728995226j),(876.4382454992185+876.3145079960755j),(989.7820170991478+989.263488729417j),(1110.1126769030857+1109.0563339483879j)
103873.5919953636,(123.62214614109433+123.58244766286367j),(168.27326585562804+168.19845152218596j),(219.802503325851+219.67708422669298j),(278.2151848241037+278.0187620890162j),(343.5181417267453+343.2225737266977j),(415.7198994541611+415.2884350044203j),(494.83086657126444+494.2162476136092j),(580.8635245609154+580.0058988155954j),(673.8326186071098+672.6572598334574j),(773.7553493722518+772.1701826865309j),(880.6515662095765+878.5444952904747j),(994.5439610489566+991.779994692028j),(1115.4582650196505+1111.8764382996785j)
104666.13323490361,(124.21281215122974+123.89715407619994j),(169.07737497711415+168.62669599233215j),(220.85302387909445+220.2363039493499j),(279.5451651581333+278.72638533612j),(345.16073282876107+344.09600625633374j),(417.70838047335354+416.34506245942634j),(497.19867308701936+495.4734310291551j),(583.6442798147459+581.4809696370348j),(677.0601676559872+674.3675144159045j),(777.4637960434898+774.132876239702j),(884.8753129366822+880.7768352275255j),(999.3177521289483+994.2991333366699j),(1120.8172325048972+1114.6994648973432j)
105464.7215,(124.80489748370319+124.21220742114085j),(169.88341801274288+169.05541144935685j),(221.90607393774513+220.79613719550963j),(280.87835270689413+279.43478282720406j),(346.80729242469965+344.9703914671236j),(419.70167660880395+417.40283822596047j),(499.57222887094304+496.7319749377321j),(586.4318087193957+582.9576289099173j),(680.2956079320603+676.0796002657585j),(781.1813484429091+776.0976576515509j),(889.1094811841131+883.0115321308209j),(1004.1033863352284+996.820909117693j),(1126.1895759379686+1117.5254181952155j)
106269.4027940149,(125.39840090821117+124.52760857238721j),(170.69139331474878+169.48459906803396j),(222.9616513991046+221.35658547601597j),(282.21474489085097+280.14395643929697j),(348.4578174488492+345.8457316243322j),(421.69978430140725+418.461764969855j),(501.95152999457764+497.9918824057269j),(589.2261069475403+584.4358800880274j),(683.5389349779846+677.7935211920674j),(784.9080022110203+778.0645310347975j),(893.3540665482465+885.2485903429216j),(1008.9008598493558+999.3453265022097j),(1131.5752925468132+1120.3543026510383j)
107080.2237,(125.9933212052299+124.84335841122025j),(171.5012992509899+169.91426003200473j),(224.0197541777004+221.91765031286621j),(283.554339149467+280.8539080630019j),(350.1123048387967+346.7220290091464j),(423.70270007347176+419.5218453749133j),(504.33657252605235+499.25315651995663j),(592.0271702557172+585.9157266461004j),(686.7901443694126+679.5092810254341j),(788.643752698376+780.0335005244722j),(897.6090647334065+887.4880142248757j),(1013.7101687370622+1001.8723899744824j),(1136.974379198699+1123.1861227341262j)
