f_MHz,mu_real,mu_imag
0.1,24223.23271,23987.32218
0.100762986,24101.33482,23920.76855
0.101531794,23979.95962,23854.12611
0.102306468,23859.10584,23787.39765
0.103087052,23738.7722,23720.58594
0.103873592,23618.95743,23653.69376
0.104666133,23499.66022,23586.72386
0.105464721,23380.87928,23519.67895
0.106269403,23262.6133,23452.56177
0.107080224,23144.86095,23385.37501
0.107897231,23027.62093,23318.12137
0.108720472,22910.89189,23250.80349
0.109549994,22794.67251,23183.42405
0.110385846,22678.96143,23115.98568
0.111228075,22563.75732,23048.491
0.11207673,22449.05881,22980.94261
0.11293186,22334.86453,22913.3431
0.113793514,22221.17313,22845.69504
0.114661743,22107.98323,22778.00099
0.115536597,21995.29344,22710.26349
0.116418125,21883.10239,22642.48506
0.117306379,21771.40867,22574.6682
0.118201411,21660.21089,22506.81541
0.119103271,21549.50765,22438.92915
0.120012013,21439.29754,22371.01189
0.120927688,21329.57915,22303.06605
0.12185035,21220.35105,22235.09407
0.122780051,21111.61184,22167.09835
0.123716846,21003.36007,22099.08128
0.124660789,20895.59432,22031.04522
0.125611933,20788.31315,21962.99253
0.126570335,20681.51512,21894.92556
0.127536049,20575.19879,21826.84662
0.128509132,20469.3627,21758.75801
0.129489639,20364.00541,21690.66203
0.130477627,20259.12545,21622.56094
0.131473153,20154.72137,21554.45699
0.132476276,20050.7917,21486.35242
0.133487051,19947.33497,21418.24946
0.134505539,19844.34972,21350.15029
0.135531798,19741.83447,21282.05711
0.136565887,19639.78774,21213.97208
0.137607866,19538.20805,21145.89736
0.138657795,19437.09392,21077.83507
0.139715735,19336.44386,21009.78733
0.140781747,19236.25638,20941.75625
0.141855892,19136.52999,20873.7439
0.142938233,19037.2632,20805.75235
0.144028832,18938.45452,20737.78364
0.145127753,18840.10243,20669.83981
0.146235057,18742.20544,20601.92288
0.147350811,18644.76205,20534.03483
0.148475077,18547.77076,20466.17764
0.149607922,18451.23005,20398.35329
0.15074941,18355.13841,20330.5637
0.151899607,18259.49434,20262.81083
0.15305858,18164.29633,20195.09656
